DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL
BD,Pacifico,2016,DS,ENSG00000099968,0.3800000000,0.0000090500
BD,Pacifico,2016,DS,ENSG00000140853,0.6500000000,0.0000113000
BD,Pacifico,2016,DS,ENSG00000156219,-0.5600000000,0.0000130000
BD,Pacifico,2016,DS,ENSG00000163221,0.6500000000,0.0000095800
BD,Pacifico,2016,DS,ENSG00000219665,0.6100000000,0.0000071700
BD,Pacifico,2016,DS,ENSG00000239961,-0.7400000000,0.0000056700
BD,Pacifico,2016,DS,ENSG00000240032,0.6900000000,0.0000129000
BD,Pacifico,2016,DS,ENSG00000260064,0.7000000000,0.0000071200
BD,Pacifico,2016,DS,ENSG00000275395,0.7400000000,0.0000107000
BD,Pacifico,2016,DS,ENSG00000242258,-0.6200000000,0.0000155000
BD,Pacifico,2016,DS,ENSG00000260912,0.6000000000,0.0000180000
BD,Pacifico,2016,DS,ENSG00000144681,-0.6800000000,0.0000264000
BD,Pacifico,2016,DS,ENSG00000253661,-0.5300000000,0.0000245000
BD,Pacifico,2016,DS,ENSG00000118729,-0.6800000000,0.0000300000
BD,Pacifico,2016,DS,ENSG00000198624,0.5300000000,0.0000339000
BD,Pacifico,2016,DS,ENSG00000261324,0.5100000000,0.0000533000
BD,Pacifico,2016,DS,ENSG00000101187,0.6700000000,0.0000606000
BD,Pacifico,2016,DS,ENSG00000124549,0.6700000000,0.0000626000
BD,Pacifico,2016,DS,ENSG00000132744,-0.6200000000,0.0000730000
BD,Pacifico,2016,DS,ENSG00000148773,0.6600000000,0.0000734000
BD,Pacifico,2016,DS,ENSG00000256006,0.6200000000,0.0000804000
BD,Pacifico,2016,DS,ENSG00000269486,0.6200000000,0.0000769000
BD,Pacifico,2016,DS,ENSG00000151929,0.6400000000,0.0000895000
BD,Pacifico,2016,DS,ENSG00000267107,0.6100000000,0.0000938000
BD,Pacifico,2016,DS,ENSG00000137393,0.4800000000,0.0001000000
BD,Pacifico,2016,DS,ENSG00000176046,0.6100000000,0.0001090000
BD,Pacifico,2016,DS,ENSG00000102524,0.5500000000,0.0001130000
BD,Pacifico,2016,DS,ENSG00000204516,0.6400000000,0.0001190000
BD,Pacifico,2016,DS,ENSG00000172936,0.4400000000,0.0001310000
BD,Pacifico,2016,DS,ENSG00000070915,0.6100000000,0.0001400000
BD,Pacifico,2016,DS,ENSG00000110077,0.6400000000,0.0001440000
BD,Pacifico,2016,DS,ENSG00000110852,0.5900000000,0.0001650000
BD,Pacifico,2016,DS,ENSG00000273492,0.4700000000,0.0001650000
BD,Pacifico,2016,DS,ENSG00000119969,0.4000000000,0.0001710000
BD,Pacifico,2016,DS,ENSG00000125347,0.5700000000,0.0001780000
BD,Pacifico,2016,DS,ENSG00000182240,0.5900000000,0.0001850000
BD,Pacifico,2016,DS,ENSG00000166091,-0.5600000000,0.0002050000
BD,Pacifico,2016,DS,ENSG00000187840,0.6000000000,0.0002050000
BD,Pacifico,2016,DS,ENSG00000198743,0.5600000000,0.0001960000
BD,Pacifico,2016,DS,ENSG00000277246,0.6200000000,0.0002060000
BD,Pacifico,2016,DS,ENSG00000149573,0.6000000000,0.0002420000
BD,Pacifico,2016,DS,ENSG00000236709,0.5900000000,0.0002370000
BD,Pacifico,2016,DS,ENSG00000243927,0.5300000000,0.0002360000
BD,Pacifico,2016,DS,ENSG00000266053,0.5800000000,0.0002320000
BD,Pacifico,2016,DS,ENSG00000091879,0.6000000000,0.0002560000
BD,Pacifico,2016,DS,ENSG00000105639,0.5400000000,0.0002510000
BD,Pacifico,2016,DS,ENSG00000116096,0.5800000000,0.0002620000
BD,Pacifico,2016,DS,ENSG00000133048,0.5900000000,0.0002830000
BD,Pacifico,2016,DS,ENSG00000160883,0.6000000000,0.0002880000
BD,Pacifico,2016,DS,ENSG00000171428,0.6100000000,0.0002840000
BD,Pacifico,2016,DS,ENSG00000261051,0.5700000000,0.0002990000
BD,Pacifico,2016,DS,ENSG00000275491,0.5900000000,0.0003060000
BD,Pacifico,2016,DS,ENSG00000235033,0.6000000000,0.0003320000
BD,Pacifico,2016,DS,ENSG00000137767,0.5600000000,0.0003640000
BD,Pacifico,2016,DS,ENSG00000188488,0.5700000000,0.0003680000
BD,Pacifico,2016,DS,ENSG00000172493,0.3700000000,0.0003850000
BD,Pacifico,2016,DS,ENSG00000245532,0.5700000000,0.0003900000
BD,Pacifico,2016,DS,ENSG00000221963,0.5100000000,0.0004100000
BD,Pacifico,2016,DS,ENSG00000274588,-0.5400000000,0.0004040000
BD,Pacifico,2016,DS,ENSG00000118298,-0.5300000000,0.0004330000
BD,Pacifico,2016,DS,ENSG00000175470,0.2200000000,0.0004430000
BD,Pacifico,2016,DS,ENSG00000144802,0.4400000000,0.0004670000
BD,Pacifico,2016,DS,ENSG00000249898,-0.4400000000,0.0004790000
BD,Pacifico,2016,DS,ENSG00000174837,0.5100000000,0.0005020000
BD,Pacifico,2016,DS,ENSG00000261231,-0.5100000000,0.0005020000
BD,Pacifico,2016,DS,ENSG00000015520,0.4800000000,0.0005140000
BD,Pacifico,2016,DS,ENSG00000187116,0.5100000000,0.0005180000
BD,Pacifico,2016,DS,ENSG00000224837,-0.3800000000,0.0005320000
BD,Pacifico,2016,DS,ENSG00000019991,0.5700000000,0.0005720000
BD,Pacifico,2016,DS,ENSG00000022267,-0.2500000000,0.0005440000
BD,Pacifico,2016,DS,ENSG00000112214,-0.5000000000,0.0005800000
BD,Pacifico,2016,DS,ENSG00000137474,0.5300000000,0.0005710000
BD,Pacifico,2016,DS,ENSG00000196954,0.5500000000,0.0005730000
BD,Pacifico,2016,DS,ENSG00000215424,0.4200000000,0.0005770000
BD,Pacifico,2016,DS,ENSG00000131747,0.5300000000,0.0006190000
BD,Pacifico,2016,DS,ENSG00000162645,0.5700000000,0.0006370000
BD,Pacifico,2016,DS,ENSG00000203710,0.5700000000,0.0006270000
BD,Pacifico,2016,DS,ENSG00000271789,0.4100000000,0.0006390000
BD,Pacifico,2016,DS,ENSG00000237021,0.5600000000,0.0006480000
BD,Pacifico,2016,DS,ENSG00000227078,0.5400000000,0.0006970000
BD,Pacifico,2016,DS,ENSG00000112303,0.5600000000,0.0007140000
BD,Pacifico,2016,DS,ENSG00000196553,-0.5600000000,0.0007250000
BD,Pacifico,2016,DS,ENSG00000159958,-0.5400000000,0.0007450000
BD,Pacifico,2016,DS,ENSG00000177076,0.4300000000,0.0007900000
BD,Pacifico,2016,DS,ENSG00000237742,-0.5400000000,0.0008120000
BD,Pacifico,2016,DS,ENSG00000231119,0.5600000000,0.0008350000
BD,Pacifico,2016,DS,ENSG00000274267,0.5400000000,0.0008340000
BD,Pacifico,2016,DS,ENSG00000165806,0.4900000000,0.0008740000
BD,Pacifico,2016,DS,ENSG00000260655,-0.5000000000,0.0009000000
BD,Pacifico,2016,DS,ENSG00000090339,0.5200000000,0.0009860000
BD,Pacifico,2016,DS,ENSG00000137193,0.5300000000,0.0009880000
BD,Pacifico,2016,DS,ENSG00000158169,0.4400000000,0.0009790000
BD,Pacifico,2016,DS,ENSG00000162490,-0.4900000000,0.0009400000
BD,Pacifico,2016,DS,ENSG00000188290,-0.5100000000,0.0009680000
