DISORDER,STUDY,YEAR,TISSUE,GENEID,LOG2FC,PVAL,-LOGPVAL,,
AD,Wingo,2015,sgACC,ENSG00001729319,-0.1538008000,0.0001030000,3.9871627753,,
AD,Wingo,2015,sgACC,ENSG00001681301,0.2654680500,0.0001600000,3.7958800173,,
AD,Wingo,2015,sgACC,ENSG00001755909,-0.1239850000,0.0001660000,3.7798919120,,
AD,Wingo,2015,sgACC,ENSG00001798612,0.1426033800,0.0002380000,3.6234230429,,
AD,Wingo,2015,sgACC,ENSG00001794085,-0.1463947000,0.0004370000,3.3595185630,,
AD,Wingo,2015,sgACC,ENSG00001719985,-0.1661635000,0.0004620000,3.3353580244,,
AD,Wingo,2015,sgACC,ENSG00000177600,0.1474624100,0.0005630000,3.2494916051,,
AD,Wingo,2015,PBMC,ENSG00001804350,-0.4790921000,0.0006060000,3.2175273758,,
AD,Wingo,2015,PBMC,ENSG00001793559,0.1604210500,0.0006120000,3.2132485779,,
AD,Wingo,2015,PBMC,ENSG00000176182,-0.1184737000,0.0006240000,3.2048154103,,
AD,Wingo,2015,PBMC,ENSG00001671486,-0.2043684000,0.0006320000,3.1992829217,,
AD,Wingo,2015,PBMC,ENSG00001766222,-0.1110169000,0.0007480000,3.1260984021,,
AD,Wingo,2015,PBMC,ENSG00001804938,-0.4055263000,0.0007590000,3.1197582241,,
AD,Wingo,2015,PBMC,ENSG00001657893,-0.1453308000,0.0007790000,3.1084625423,,
AD,Wingo,2015,PBMC,ENSG00000170627,-0.1351429000,0.0008130000,3.0899094544,,
AD,Wingo,2015,PBMC,ENSG00001710482,-0.1457124000,0.0008690000,3.0609802236,,
AD,Wingo,2015,PBMC,ENSG00001804509,-0.4706034000,0.0009010000,3.0452752090,,
AD,Wingo,2015,PBMC,ENSG00002214603,0.1858270700,0.0009330000,3.0301183563,,
AD,Wingo,2015,PBMC,ENSG00001749722,-0.5212688000,0.0009520000,3.0213630516,,
AD,Wingo,2015,PBMC,ENSG00001798528,-0.1686447000,0.0009610000,3.0172766123,,
AD,Wingo,2015,PBMC,ENSG00001800638,0.1488327100,0.0009800000,3.0087739243,,
AD,Wingo,2015,PBMC,ENSG00000233024,-0.1639624000,0.0009880000,3.0052430554,,
AD,Wingo,2015,PBMC,ENSG00000172482,-0.1925075000,0.0010130000,2.9943905546,,
AD,Wingo,2015,PBMC,ENSG00001781077,0.1175526300,0.0010280000,2.9880068853,,
AD,Wingo,2015,PBMC,ENSG00001683273,0.1343383500,0.0010910000,2.9621752494,,
