graph_type,disorder,metric,u_statistic,p_value,cliffs_delta,tf_mean,gene_mean,tf_median,gene_median,n_tf,n_gene
deggrn,AD,Strength,0.0,2.5493747220630823e-58,-1.0,38.20207468847352,245.25731949999997,36.5024,245.21774166666665,642,100
deggrn,AD,Clustering_Coefficient,64200.0,2.5493747220630823e-58,1.0,0.08692130942637395,0.057690398880097644,0.08544142492565315,0.05812900801619329,642,100
deggrn,AD,Closeness_Centrality,64200.0,1.852668668157522e-58,1.0,0.04872024494719703,0.0,0.04666227133364613,0.0,642,100
deggrn,AD,Eccentricity_Centrality,64200.0,1.852657995656613e-58,1.0,3.0090640965732085,0.0,2.8088083333333334,0.0,642,100
deggrn,AD,Betweenness,32100.0,1.0,0.0,0.0,0.0,0.0,0.0,642,100
deggrn,ADHD,Strength,1053121.0,4.825960729950339e-300,0.9942451901227087,625.0471809006212,245.44535640243905,602.6254083333333,245.08988333333332,644,1640
deggrn,ADHD,Clustering_Coefficient,161869.0,4.84233882743589e-147,-0.6934763672170883,0.044284568809820644,0.055959914381363295,0.04493056579496457,0.0561843520863661,644,1640
deggrn,ADHD,Closeness_Centrality,1056160.0,0.0,1.0,0.2564755039162945,0.0,0.24512956541890454,0.0,644,1640
deggrn,ADHD,Eccentricity_Centrality,1056160.0,0.0,1.0,2.180166563146998,0.0,2.0816,0.0,644,1640
deggrn,ADHD,Betweenness,528080.0,1.0,0.0,0.0,0.0,0.0,0.0,644,1640
deggrn,ASD,Strength,1299574.0,0.0,0.9999722989984549,769.9656848343685,245.7174930789561,749.2881666666667,244.73874999999998,644,2018
deggrn,ASD,Clustering_Coefficient,204994.0,3.2825911569916885e-151,-0.6845256049590949,0.044325217766922706,0.05555755175297379,0.045051791406481884,0.055722378399016545,644,2018
deggrn,ASD,Closeness_Centrality,1299592.0,0.0,1.0,0.2709253130953478,0.0,0.26130267443494404,0.0,644,2018
deggrn,ASD,Eccentricity_Centrality,1299592.0,0.0,1.0,2.152700388198758,0.0,2.0675499999999998,0.0,644,2018
deggrn,ASD,Betweenness,649796.0,1.0,0.0,0.0,0.0,0.0,0.0,644,2018
deggrn,BD,Strength,1781304.0,0.0,1.0,1060.4334499482402,246.8977374427573,1037.9436333333333,246.41720833333335,644,2766
deggrn,BD,Clustering_Coefficient,288289.0,7.34164363101787e-158,-0.6763169004280011,0.044503039260583736,0.055647852437450795,0.045381716243627315,0.05571827760545471,644,2766
deggrn,BD,Closeness_Centrality,1781304.0,0.0,1.0,0.29109327238207516,0.0,0.2830761423281736,0.0,644,2766
