disorder,metric,u_statistic,p_value,cliffs_delta,tf_mean,gene_mean,tf_median,gene_median,n_tf,n_gene
AD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
ASD,Strength,388.0,4.898449028576327e-07,1.0,116.36212125,4.798437989690721,115.220045,4.21725,4,97
ASD,Clustering_Coefficient,0.0,0.0006550190172217377,-1.0,0.10647714459189869,0.6692437997679485,0.10383164194639605,0.7395833333333331,4,97
ASD,Closeness_Centrality,388.0,2.0276434201110568e-23,1.0,0.9032040386366028,0.0,0.8778616373111253,0.0,4,97
ASD,Eccentricity_Centrality,388.0,2.0276434201110568e-23,1.0,0.9828575,0.0,0.9599200000000001,0.0,4,97
ASD,Betweenness,194.0,1.0,0.0,0.0,0.0,0.0,0.0,4,97
BD,Strength,258.0,1.4302247684037032e-07,1.0,37.642563333333335,5.252450697674418,36.26687,4.864599999999999,6,43
BD,Clustering_Coefficient,0.0,7.930523988622562e-05,-1.0,0.09022696031274463,0.6041477602065949,0.09001473063973064,0.6666666666666666,6,43
BD,Closeness_Centrality,258.0,5.888472778105515e-12,1.0,0.6140977694459657,0.0,0.6130883484161217,0.0,6,43
BD,Eccentricity_Centrality,258.0,5.888472778105515e-12,1.0,1.9323050000000002,0.0,1.0140950000000002,0.0,6,43
BD,Betweenness,129.0,1.0,0.0,0.0,0.0,0.0,0.0,6,43
MDD,Strength,178220.0,2.4068504311827138e-46,1.0,1059.324672642857,29.12518738609584,1093.7873725,28.554575,70,2546
MDD,Clustering_Coefficient,0.0,2.406850679580654e-46,-1.0,0.05584173009458364,0.1062406855299529,0.058181565830324224,0.10609257775491013,70,2546
MDD,Closeness_Centrality,178220.0,0.0,1.0,0.32055470192575714,0.0,0.3333083597894628,0.0,70,2546
MDD,Eccentricity_Centrality,178220.0,0.0,1.0,0.9609834285714287,0.0,0.9572400000000001,0.0,70,2546
MDD,Betweenness,89110.0,1.0,0.0,0.0,0.0,0.0,0.0,70,2546
OCD,Strength,39144.0,5.075516986053001e-28,1.0,391.0582582142857,17.622797043991415,404.6488975,16.770085,42,932
OCD,Clustering_Coefficient,0.0,5.075486973092108e-28,-1.0,0.05852696871560371,0.1523629297271299,0.06098723708006121,0.14973853184029357,42,932
OCD,Closeness_Centrality,39144.0,1.865538253367427e-213,1.0,0.3089954947274721,0.0,0.31806840785548884,0.0,42,932
OCD,Eccentricity_Centrality,39144.0,1.865538253367427e-213,1.0,0.9714515476190477,0.0,0.9616925000000001,0.0,42,932
OCD,Betweenness,19572.0,1.0,0.0,0.0,0.0,0.0,0.0,42,932
SZ,Strength,1417.0,4.235853494861936e-09,1.0,65.38324,7.798001100917431,67.01102,6.632,13,109
SZ,Clustering_Coefficient,0.0,4.213075599290499e-09,-1.0,0.07626445547631794,0.376329580159828,0.07261304008615836,0.3500000000000001,13,109
SZ,Closeness_Centrality,1417.0,5.376665764083486e-28,1.0,0.4290909236340073,0.0,0.4589179681766017,0.0,13,109
SZ,Eccentricity_Centrality,1417.0,5.376665764083486e-28,1.0,1.120223846153846,0.0,1.1017,0.0,13,109
SZ,Betweenness,708.5,1.0,0.0,0.0,0.0,0.0,0.0,13,109
