graph,disorder,TF_A,TF_B,target_DEG
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000153130
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000171766
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000203818
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000125878
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000183798
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000185885
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000140199
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000237174
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000106366
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000179542
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000104951
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000253877
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000050327
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000122026
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000138463
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000151929
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000146592
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000096696
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000120696
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000243742
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000176731
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000132356
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000165685
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000091436
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000165997
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000125122
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000106211
grn,ASD,ENSG00000146592,ENSG00000146592,ENSG00000185808
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000140199
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000132744
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000100314
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000134061
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000256790
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000106211
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000163235
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000151929
grn,ASD,ENSG00000118260,ENSG00000170345,ENSG00000144034
grn,BD,ENSG00000135363,ENSG00000153234,ENSG00000169245
grn,BD,ENSG00000135363,ENSG00000153234,ENSG00000187840
grn,BD,ENSG00000119508,ENSG00000159216,ENSG00000176046
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000232531
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000231770
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000214465
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000228358
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000118194
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000239828
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000158428
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000239617
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000126759
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000225953
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000119686
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000240065
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000271590
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000265263
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000184564
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000139865
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000255176
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000105642
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000066294
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000242173
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000163793
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000272944
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000204929
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000267311
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000246366
grn,MDD,ENSG00000175832,ENSG00000164749,ENSG00000247903
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000254099
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000140557
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000231770
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000263391
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000130711
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000256148
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000183657
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000260206
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000146410
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000234690
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000267500
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000105697
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000262468
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000210164
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000163815
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000257386
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000165171
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000262188
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000239828
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000257434
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000247287
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000259363
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000234978
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000127507
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000258545
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000255750
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000264705
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000234665
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000235180
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000267278
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000164761
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000176868
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000164694
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000246363
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000245468
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000234661
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000265168
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000271737
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000216901
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000198576
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000261668
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000259433
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000241213
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000254165
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000233621
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000231768
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000245648
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000258526
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000258940
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000234394
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000222020
grn,MDD,ENSG00000175832,ENSG00000171223,ENSG00000234754
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000225106
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000105880
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000175544
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000265702
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000228358
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000105650
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000129451
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000223756
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000248837
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000259032
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000165171
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000244050
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000164078
grn,MDD,ENSG00000175832,ENSG00000185811,ENSG00000233894
