disorder_a,disorder_b,intersection,union,jaccard
AD,ADHD,0,0,0
AD,ASD,0,129,0.0
AD,BD,0,60,0.0
AD,MDD,0,19927,0.0
AD,OCD,0,4516,0.0
AD,SZ,0,223,0.0
ADHD,ASD,0,129,0.0
ADHD,BD,0,60,0.0
ADHD,MDD,0,19927,0.0
ADHD,OCD,0,4516,0.0
ADHD,SZ,0,223,0.0
ASD,BD,2,187,0.0106951871657754
ASD,MDD,11,20045,0.0005487652781242205
ASD,OCD,5,4640,0.0010775862068965517
ASD,SZ,0,352,0.0
BD,MDD,10,19977,0.000500575662011313
BD,OCD,7,4569,0.0015320639089516305
BD,SZ,1,282,0.0035460992907801418
MDD,OCD,292,24151,0.012090596662664072
MDD,SZ,7,20143,0.0003475152658491784
OCD,SZ,21,4718,0.004451038575667656
