disorder_a,disorder_b,intersection,union,jaccard
AD,ADHD,1673703,1775498,0.9426667898246013
AD,ASD,1651694,1775456,0.9302928374457041
AD,BD,1607599,1775037,0.9056706986952948
AD,MDD,1144330,1773862,0.6451065528209071
AD,OCD,1667553,1775405,0.9392521706314897
AD,SZ,1676163,1775295,0.9441602663219353
ADHD,ASD,1570618,1765955,0.8893873286691903
ADHD,BD,1529731,1762328,0.8680171908974946
ADHD,MDD,1102516,1725099,0.639103031188355
ADHD,OCD,1585613,1766768,0.8974653151970151
ADHD,SZ,1593521,1767360,0.9016391680246243
ASD,BD,1513256,1756752,0.8613942093135514
ASD,MDD,1089869,1715695,0.6352347008063788
ASD,OCD,1573124,1757206,0.8952416506658867
ASD,SZ,1577172,1761658,0.8952770628578305
BD,MDD,1067745,1693305,0.6305686217190642
BD,OCD,1529343,1756473,0.8706897287917321
BD,SZ,1553027,1741289,0.8918835414454465
MDD,OCD,1097595,1723777,0.6367383948155707
MDD,SZ,1104067,1725805,0.6397402951086595
OCD,SZ,1596546,1758092,0.9081128860150663
