disorder,metric,u_statistic,p_value,cliffs_delta,tf_mean,gene_mean,tf_median,gene_median,n_tf,n_gene
AD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
AD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
ADHD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
ASD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
ASD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
ASD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
ASD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
ASD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
BD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
BD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
BD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
BD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
BD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
MDD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
MDD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
MDD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
MDD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
MDD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
OCD,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
OCD,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
OCD,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
OCD,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
OCD,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
SZ,Strength,nan,nan,nan,nan,nan,nan,nan,0,0
SZ,Clustering_Coefficient,nan,nan,nan,nan,nan,nan,nan,0,0
SZ,Closeness_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
SZ,Eccentricity_Centrality,nan,nan,nan,nan,nan,nan,nan,0,0
SZ,Betweenness,nan,nan,nan,nan,nan,nan,nan,0,0
