"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","90/1746","474/18860",0.189873417721519,2.05098090391057,7.40194841505567,2.80839601679657e-11,1.64628174504615e-07,1.42489145273258e-07,"GABRA1/SLC4A8/NEDD4/WDR1/ACTN2/GSK3B/MTMR2/SLC8B1/TREM2/DSP/STX1B/ZMYND8/CELF4/SLC17A7/SCN1B/KCNA1/SLC29A1/FGF12/KCNC4/RGS4/KMT2A/CREB1/GOT1/GRIA2/PTK2B/KCNS1/IFI6/KCNC3/SPART/DSC2/KCNK1/SCN2A/HCN4/PPP3CA/AKT1/ATP1B1/SCN1A/ARL6IP5/TMEM108/GABRB2/CHRNB3/HTR3B/SCN2B/ANK3/AKAP6/KCNE4/GRID2/KCNK13/PID1/WNT7A/KCNS2/KCNB1/GRIN2C/GABRB1/ATP1A1/ADORA1/HCN1/KCNV1/GABRB3/SCN3B/CACNG2/SMAD3/NTSR2/SCN9A/KCNS3/MFN1/KCND3/GLRX/KCNA2/CACNB4/KCNB2/RGS7/PYCR1/SLC8A1/GRIN2A/KCNH8/GPRIN3/KCNQ5/GABRA5/MAPT/KCNJ11/GABRD/PRKAR1B/LRRK2/SCN8A/FLNA/WWP2/NOS1AP/CLIC1/SHANK3",90
"GO:0006813","potassium ion transport","53/1746","240/18860",0.220833333333333,2.38540473463154,6.89919048939061,1.6327865778792e-09,4.78569745976395e-06,4.14212173967251e-06,"MCOLN3/SLC12A2/NEDD4/TMEM38A/ACTN2/MCOLN1/TREM2/HTR2A/SLC17A7/KCNA1/KCNC4/RGS4/VPS4B/PTK2B/KCNS1/SLC12A5/EDN3/TMEM175/DPP6/KCNC3/SNAP25/LARGE1/CD63/KCNK1/FXYD6/HCN4/SLC12A6/ATP1B1/ANK3/AKAP6/KCNE4/KCNK13/SLC24A2/KCNS2/KCNB1/ATP1A1/ADORA1/HCN1/KCNV1/KCNAB1/KCNAB3/KCNS3/KCND3/KCNK7/ANO6/KCNA2/KCNB2/KCNH8/KCNQ5/KCNJ11/FLNA/WWP2/NOS1AP",53
"GO:0071805","potassium ion transmembrane transport","46/1746","208/18860",0.221153846153846,2.38886686051635,6.43332165059593,1.83267224971147e-08,3.5810415759362e-05,3.0994667521436e-05,"MCOLN3/SLC12A2/NEDD4/TMEM38A/MCOLN1/SLC17A7/KCNA1/KCNC4/RGS4/KCNS1/SLC12A5/EDN3/TMEM175/DPP6/KCNC3/SNAP25/LARGE1/CD63/KCNK1/HCN4/SLC12A6/ATP1B1/ANK3/AKAP6/KCNE4/KCNK13/SLC24A2/KCNS2/KCNB1/ATP1A1/HCN1/KCNV1/KCNAB1/KCNAB3/KCNS3/KCND3/KCNK7/ANO6/KCNA2/KCNB2/KCNH8/KCNQ5/KCNJ11/FLNA/WWP2/NOS1AP",46
"GO:0010975","regulation of neuron projection development","77/1746","448/18860",0.171875,1.85656500572738,5.86076810270306,7.0182625128275e-08,8.38424333046753e-05,7.25673882685153e-05,"HECW1/CFLAR/SARM1/TNFRSF12A/ARHGAP44/FYN/VIM/FSTL4/LZTS1/NTN1/NGEF/NEDD4/PAK3/FGFR1/GSK3B/STX1B/CRKL/MCF2/NDRG4/ANKRD27/PTPRS/MAG/SCN1B/MDK/NR2E1/DPYSL3/RTN4/TRAK2/NFE2L2/PRRX1/RAP1A/RAB29/BCL11A/PTK2B/RNF6/APOE/SNAP25/SPART/SEMA4F/TUBB2B/MGARP/PARP6/ZNF365/SEMA7A/PPP3CA/KATNB1/AKT1/CAMK2G/FEZ1/YTHDF1/GRID2/PTPRD/WNT7A/LRP8/FZD1/BRSK1/DDR2/PDLIM5/CSMD3/APBB1/ISLR2/IL1RAPL1/PTPN9/SDC2/SMAD1/NEGR1/DHX36/EFNA5/INPP5J/PLK5/MAPT/LRRK2/INPP5F/TENM3/TWF2/SHANK3/CUX1",77
"GO:0050890","cognition","62/1746","333/18860",0.186186186186186,2.01115204551631,5.94623018035817,7.24714685830459e-08,8.38424333046753e-05,7.25673882685153e-05,"PRKAR2B/FYN/NRXN3/RASGRF1/VDAC3/DDHD2/AAAS/TREM2/MAPK1/HTR2A/NDRG4/SLC17A7/PTPRZ1/PPP3CB/MDK/SLC1A4/KMT2A/CREB1/SLC12A5/FOXP2/APOE/C1QL1/SNAP25/LARGE1/SCN2A/DOP1B/ARL6IP5/CRH/YTHDF1/SLC7A11/GPR158/CAMK4/SLC24A2/BRSK1/ITGA5/ZNF385A/ELAVL4/NCSTN/GPR155/ADORA1/ADCY1/PTCHD1/GABRB3/MAP1A/FAM107A/KCNAB1/FOS/NEUROD2/GATM/RCAN2/SLITRK4/SLC2A4/PLCB1/GRIN2A/BTBD9/GABRA5/MAPT/PRKAR1B/C5AR1/PJA2/GTF2A1L/SHANK3",62
"GO:0072657","protein localization to membrane","78/1746","458/18860",0.170305676855895,1.83961343957742,5.81012256001623,8.58162060436799e-08,8.38424333046753e-05,7.25673882685153e-05,"CACNG3/ARHGAP44/CACNA2D2/FYN/ANK1/ATP2B4/PPP2R5A/TNFRSF1A/PALS1/FERMT2/ACTN2/TESC/EZR/TREM2/CRKL/ZMYND8/CHRDL1/STX4/EHD4/CACNG7/CD81/C2CD5/ARL6/SCP2/RAP1A/GBP1/RAB29/RAB38/APOE/DPP6/RFTN1/LGALS3/RAMP1/LARGE1/ERBB2/STAC2/AKT1/ATP1B1/RAB13/ARL6IP5/TMEM108/CAMK2G/RILPL2/SLC7A11/GPR158/ANK3/FARP1/PID1/RAB6B/HYCC2/MMP14/KCNB1/ZDHHC12/SQSTM1/GRIN2C/ARL5B/RAB8B/SCN3B/CACNG2/STX3/RAB26/RAB31/NSG1/VAMP5/CPLX1/PTPN9/PRKCE/NPTX1/SFN/SSNA1/SCRIB/KCNB2/GRIN2A/VWC2/FLNA/S100A10/EFCAB7/SHANK3",78
"GO:0051056","regulation of small GTPase mediated signal transduction","59/1746","314/18860",0.187898089171975,2.02964373527116,5.8766843426578,1.07292212319727e-07,8.98495640883201e-05,7.77666862227195e-05,"ARHGAP44/CYTH3/ARHGAP6/ARHGEF5/PIK3CB/RASGRF1/CDON/NGEF/MYO9A/FERMT2/ADCYAP1R1/OPHN1/ARHGAP28/TGFB2/CRKL/LZTR1/ARHGAP5/MCF2/CHN2/CBL/RASAL1/RIPOR2/RTN4/GNA13/IQSEC3/KBTBD7/ARFGEF2/PSD4/MCF2L/PLEKHG3/APOE/RAP1GAP2/SWAP70/ARHGEF4/GARNL3/ITGAV/FGD4/BNIP2/ERBB2/ARHGAP18/EPS8/CYRIB/PSD3/ARHGAP27/KALRN/SQSTM1/SPRY1/FBXO8/ABCA1/ARHGEF40/ARHGAP42/MAPRE2/AKAP13/RHOD/SCAI/NET1/CSF1/ARHGEF28/SRGAP2",59
"GO:0006887","exocytosis","66/1746","370/18860",0.178378378378378,1.92681341134949,5.75082831182053,1.48337527696849e-07,0.000108694323419866,9.40772215130018e-05,"ARHGAP44/SYT13/ANK1/SLC4A8/PFN2/CADPS2/GNAO1/RPH3A/STX1B/CHGA/STX4/SYT17/PPP3CB/CBL/STX2/SDC1/RAP1A/VPS4B/ARFGEF2/RAP1B/SNAP25/RABEPK/TMEM63B/SYTL2/PPP3CA/RAB13/SYT2/STXBP5L/CPLX2/WNT7A/SYN2/TPRG1L/KCNB1/SV2A/BRSK1/VPS11/VSNL1/CLASP2/CADPS/PRSS12/RAB8B/PRKCB/STX3/RAB26/RAB31/LGI3/CPLX1/IL1RAPL1/TMED10/PIK3CD/RAB37/SYT12/HAP1/SCRIB/CACNB4/ANXA2/SV2B/LAMP1/PCLO/LRRK2/S100A10/SCAMP5/SYT15/SYT3/TMEM167B/SCAMP4",66
"GO:0007611","learning or memory","54/1746","284/18860",0.190140845070423,2.05386960940903,5.71578172864409,2.47269964966229e-07,0.00016105517051467,0.000139396635220728,"PRKAR2B/FYN/NRXN3/RASGRF1/VDAC3/DDHD2/AAAS/TREM2/MAPK1/HTR2A/NDRG4/SLC17A7/PTPRZ1/PPP3CB/MDK/KMT2A/CREB1/SLC12A5/FOXP2/APOE/C1QL1/SNAP25/LARGE1/SCN2A/ARL6IP5/CRH/YTHDF1/SLC7A11/CAMK4/SLC24A2/BRSK1/ITGA5/ZNF385A/ELAVL4/NCSTN/ADCY1/PTCHD1/GABRB3/MAP1A/KCNAB1/FOS/NEUROD2/GATM/RCAN2/SLITRK4/SLC2A4/PLCB1/GRIN2A/BTBD9/GABRA5/MAPT/PRKAR1B/PJA2/SHANK3",54
"GO:0007409","axonogenesis","78/1746","472/18860",0.165254237288136,1.78504863416623,5.51703831701908,3.05779853471308e-07,0.000179248150104881,0.000155143041445443,"ARX/TNFRSF12A/FYN/NRXN3/FSTL4/CYFIP2/NTN1/NTN4/PAK3/OPHN1/GSK3B/TGFB2/EFNA2/MCF2/PTPRS/MAG/SCN1B/EPHB6/PTPRZ1/LHX2/PPP3CB/NECTIN1/NR2E1/UNC5A/RTN4/TRAK2/CREB1/BCL11A/EDN3/VASP/RNF6/SMO/PALLD/APOE/MATN2/DCLK1/SPART/SEMA4F/TUBB2B/SEMA7A/PRICKLE1/AFG3L2/ARK2C/ERBB2/LMO4/CELSR2/NFIB/PARD3/FEZ1/YTHDF1/ANK3/ROBO4/ENAH/WNT7A/KALRN/BRSK1/CLASP2/ADCY1/DRGX/ARHGEF40/APBB1/MAP1A/ISLR2/SEMA4C/NPTX1/PITPNA/B4GAT1/SSNA1/SLITRK4/EFNA5/NELL2/SLITRK2/MAPT/COL25A1/EVL/ATL1/ARHGEF28/TWF2",78
