"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","37/897","184/9376",0.201086956521739,2.10188551209345,4.90964305274389,9.14852566743644e-06,0.00214496339000428,0.00154621097937272,"2534/5291/2773/9423/25791/59277/5362/5063/2932/1808/1943/5594/10398/5595/50855/2051/5532/90249/5361/6608/10505/8482/7222/5530/56288/818/55740/84448/1073/54910/5293/29984/84552/3985/1946/57522/23380",37
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","22/897","86/9376",0.255813953488372,2.67392600658526,5.0720925263626,1.2887306483998e-05,0.00214496339000428,0.00154621097937272,"5601/5291/2065/6416/5609/5063/2932/1399/5594/5595/867/868/1026/2002/2064/207/818/6464/7039/5579/5293/1978",22
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","22/897","89/9376",0.247191011235955,2.58379366928463,4.88276053043152,2.31260176802841e-05,0.00214496339000428,0.00154621097937272,"92745/2554/2773/10681/2775/2564/81539/66008/57468/27165/2572/23710/2561/2785/2560/107/2562/5579/55970/9001/2558/2563",22
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","51/897","299/9376",0.17056856187291,1.78288833458239,4.47480165922765,2.80233502179939e-05,0.00214496339000428,0.00154621097937272,"2534/5601/5291/9423/5362/5063/2260/2932/5829/7430/5594/10398/5595/50855/5802/4099/5803/653857/5818/3736/90249/5361/5906/5908/7277/5819/7280/347733/207/4478/5375/56288/90952/84623/288/5789/54538/3678/79827/5579/11141/5293/3737/84552/139065/23705/84631/6334/57522/3690/23380",51
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","51/897","300/9376",0.17,1.77694537346711,4.44849811369476,3.0730134527282e-05,0.00214496339000428,0.00154621097937272,"10368/4293/9254/3082/5606/5601/5923/2065/6416/7132/782/5609/4791/2260/51701/51776/7042/1943/1399/5594/5595/59284/3315/5532/84867/7867/5906/2002/5908/10912/4772/2247/5530/2064/207/56034/2768/55799/9261/7039/5598/5579/10369/2353/55970/5970/785/1946/1435/4137/2316",51
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","24/897","110/9376",0.218181818181818,2.28057160231073,4.39403592680387,8.89133150802307e-05,0.00517179116050009,0.00372811970248687,"4843/3459/5291/2023/7018/5594/3162/7076/5595/5054/4055/2026/1026/112399/2064/207/818/5579/5162/6774/5293/5970/1978/112398",24
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","29/897","154/9376",0.188311688311688,1.96835049008962,3.94085014122756,0.000275630096471827,0.0137421290955239,0.00990610421906264,"10368/9254/493/2773/5525/782/490/1390/5594/5595/59284/6324/7139/1385/207/481/805/9586/818/5331/491/55799/476/107/10369/146/785/23236/6546",29
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","35/897","203/9376",0.172413793103448,1.80217583515934,3.75812688822974,0.00040174263100249,0.0142359862818655,0.0102621044227593,"2534/3082/330/5601/5291/5923/5063/2932/5829/3912/1299/1399/5594/394/10398/5595/5906/7408/2002/5908/2012/7094/3685/64098/2064/207/56034/6464/3678/5579/5293/83660/1287/2316/3690",35
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","38/897","227/9376",0.167400881057269,1.7497777712296,3.71936001241687,0.000423356207197019,0.0142359862818655,0.0102621044227593,"5291/2773/7132/10681/2932/2775/5829/1399/5594/5595/5532/1385/10672/2185/1026/2002/4772/3452/3685/5530/207/805/2768/9586/5331/2785/107/5579/6890/6774/11214/5293/55970/5970/23236/1978/3106/3690",38
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","35/897","204/9376",0.17156862745098,1.79334163988895,3.72608581061622,0.000441655111211313,0.0142359862818655,0.0102621044227593,"5329/3082/960/286/5291/2065/2260/5829/7430/7042/5594/5595/867/6382/1026/2002/6608/967/51196/3685/2247/2064/207/4478/818/288/7476/8321/3678/5579/6774/6383/5293/2316/3690",35
