"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","59/2044","232/18860",0.254310344827586,2.34652304473986,7.19470671240888,2.50980223147666e-10,1.40016828047045e-06,1.17879376461292e-06,"CASP10/CFLAR/CD4/CD74/CUL1/TNFRSF1A/EDN1/HMOX1/TLR8/PYCARD/IKBKB/ZC3HAV1/CAV1/NOD1/BIRC2/LTBR/VEGFA/IL1A/IL1R1/TNFRSF10B/TRIM25/TNFSF10/TNFSF14/TRAF2/TRIM5/EDNRB/TLR4/TLR2/CASP1/PELI2/CARD14/SECTM1/SLC20A1/TIFA/LURAP1L/S100B/S100A12/F2RL1/CASP7/TERF2IP/NOD2/CX3CR1/STAT3/TNIP2/MALT1/CCL19/MYD88/TNFSF15/TRIM52/IRAK1/TMEM106A/ROR1/HLA-DRB1/S100A4/TLR7/PLCG2/CARD16/NUP62/IKBKE",59
"GO:0050729","positive regulation of inflammatory response","49/2044","179/18860",0.273743016759777,2.52582842274432,7.15106264329864,5.58267770395488e-10,1.40016828047045e-06,1.17879376461292e-06,"TAC1/IL17RB/TNFRSF1A/PTGS2/MGST2/NLRP1/TREM2/PYCARD/NKG7/SERPINE1/MAP3K8/NFKB1/MDK/IL1RL1/GBP3/TNFSF4/MMP8/C3/DHX9/TLR4/TLR2/CASP1/CASP5/S100A8/NFKBIZ/AGTR1/OSMR/TNIP1/FCGR1A/GBP5/GNA14/GBP2/S100A9/S100A12/CCR1/STAT3/ADORA2B/PTGER4/CEBPB/NUPR1/GPR4/LILRA5/TLR7/CASP4/PLCG2/C2CD4A/GPSM3/NEAT1/CCL5",49
"GO:0007159","leukocyte cell-cell adhesion","91/2044","439/18860",0.207289293849658,1.91265953131338,6.74563563619912,7.01369985208107e-10,1.40016828047045e-06,1.17879376461292e-06,"ITGAL/SELE/CD4/CD74/RUNX3/RC3H2/NCK2/IL4R/ARG2/ICAM1/TNFSF13B/PYCARD/GFUS/IL4I1/LILRB1/JAK3/CAV1/DOCK8/MAP3K8/CCL2/MDK/CD69/SELPLG/CD83/VNN1/GOLPH3/BCL6/IL1A/CD46/TNFSF4/NR4A3/HSPH1/NCKAP1L/BTN2A2/IRF1/TNFSF14/FGL2/GPNMB/KLF4/LRRC32/SLC39A8/SLC7A1/GPR65/ERBB2/S100A8/HSPD1/NFKBIZ/TNIP1/TNFRSF21/CDKN2A/CCL28/JAM2/RUNX1/TNFRSF13C/VCAM1/TNFAIP8L2/S100A9/DAPL1/TGFBR2/PBRM1/SYK/B2M/CERCAM/NOD2/IGF2/NFKBID/CX3CR1/IL12A/SOCS6/MALT1/CEBPB/CCL19/OLR1/PTPN11/HLA-DQB1/EGR3/KLHL25/IRAK1/LILRB4/IFNA2/HLA-DRB1/HLA-DQA1/NRARP/HLA-DRB5/CR1/HLA-DOA/HLA-DRA/HLA-DPB1/HLA-DPA1/PECAM1/CCL5",91
"GO:0032496","response to lipopolysaccharide","74/2044","350/18860",0.211428571428571,1.95085266983506,6.26011728193687,1.14168550059466e-08,1.70938861576536e-05,1.43912461785485e-05,"UPF1/TAC1/SELE/SLC11A1/SBNO2/EDN1/ABCB1/MGST2/TREM2/CSF2RB/PCK2/MMP9/SLC7A5/PYCARD/LILRB1/SERPINE1/CCL2/NFKB1/ERBIN/PLSCR4/IL1A/GBP3/TNFSF4/MMP8/TNFAIP3/NR4A1/AKAP12/TRIM5/CD180/EDNRB/TLR4/TLR2/CASP1/SMAD6/IRF8/IFNAR1/S100A8/NFKBIZ/TNIP1/CCL28/CD96/GBP5/LY96/SPON2/CCR5/ALPL/GBP2/VCAM1/HMGB2/CASP7/C2/B2M/NOD2/SRR/CX3CR1/IL12A/TNIP2/CXCL10/PTAFR/CXCL8/FOS/CD14/MALT1/CEBPB/MYD88/TRIB1/PTPN11/IRAK1/FCAR/TLR5/ARID5A/PLCG2/CARD16/DIO2",74
"GO:0042330","taxis","92/2044","476/18860",0.19327731092437,1.78337088259962,6.03516742199843,2.16123731710727e-08,2.58873005843109e-05,2.17943721030396e-05,"SEMA3G/CD74/HGF/BCAR1/SEMA3A/EDN1/MMP2/SLC8B1/CMTM1/ANGPT2/TGFB2/SEMA4G/TREM2/HSD3B7/SERPIND1/PLP2/FLT1/PTN/SERPINE1/PLGRKT/CREB3/CCL2/MDK/BIN2/SMOC2/VEGFA/HBEGF/F3/DUSP1/CXCR4/OPN4/PLAU/NCKAP1L/NR4A1/EDN3/NUP85/C3/TNFSF14/LGR6/C5AR2/SEMA4F/EDNRB/GPNMB/TUBB2B/CCN1/S100A8/AGTR1/YTHDF1/CCL28/EPHB1/NRG1/SLAMF8/JAML/IL6R/CCR5/VCAM1/S100A9/S100A12/IL17RC/CCR1/PRKCD/HMGB2/F2RL1/SYK/CMTM5/GREM1/CX3CR1/GDNF/IL12A/CXCL10/P2RY12/RNASE2/PTK2/PTAFR/CXCL8/GPR183/ROBO1/CMTM8/CCL19/CYP7B1/ANO6/EGR3/CXCR2/SEMA4B/FLRT2/S100A4/GPSM3/LTB4R2/ITGB3/MMP28/CCL5/CCL4",92
"GO:0043122","regulation of canonical NF-kappaB signal transduction","70/2044","332/18860",0.210843373493976,1.94545304505694,6.0594493888059,3.17522409758138e-08,3.06721404236525e-05,2.58227017302415e-05,"CASP10/CFLAR/CD4/ZMYND11/CD74/CUL1/TNFRSF1A/TGFBR3/EDN1/ZFAND6/TREM2/HMOX1/TLR8/PYCARD/IKBKB/ZC3HAV1/CAV1/NOD1/BIRC2/LTBR/VEGFA/IL1A/IL1R1/TNFAIP3/TNFRSF10B/TRIM25/TNFSF10/TNFSF14/TRAF2/TRAF3/TRIM5/EDNRB/KLF4/TLR4/TLR2/CASP1/SLC39A8/PELI2/CARD14/SECTM1/SLC20A1/TIFA/TNIP1/LURAP1L/S100B/S100A12/F2RL1/CASP7/TERF2IP/C15orf39/NOD2/CX3CR1/STAT3/TNIP2/MALT1/CCL19/MYD88/TNFSF15/TRIM52/IRAK1/TMEM106A/ROR1/LILRB4/HLA-DRB1/S100A4/TLR7/PLCG2/CARD16/NUP62/IKBKE",70
"GO:0006935","chemotaxis","91/2044","474/18860",0.191983122362869,1.77142939714467,5.93034766161621,3.58498886234042e-08,3.06721404236525e-05,2.58227017302415e-05,"SEMA3G/CD74/HGF/BCAR1/SEMA3A/EDN1/MMP2/SLC8B1/CMTM1/ANGPT2/TGFB2/SEMA4G/TREM2/HSD3B7/SERPIND1/PLP2/FLT1/PTN/SERPINE1/PLGRKT/CREB3/CCL2/MDK/BIN2/SMOC2/VEGFA/HBEGF/F3/DUSP1/CXCR4/PLAU/NCKAP1L/NR4A1/EDN3/NUP85/C3/TNFSF14/LGR6/C5AR2/SEMA4F/EDNRB/GPNMB/TUBB2B/CCN1/S100A8/AGTR1/YTHDF1/CCL28/EPHB1/NRG1/SLAMF8/JAML/IL6R/CCR5/VCAM1/S100A9/S100A12/IL17RC/CCR1/PRKCD/HMGB2/F2RL1/SYK/CMTM5/GREM1/CX3CR1/GDNF/IL12A/CXCL10/P2RY12/RNASE2/PTK2/PTAFR/CXCL8/GPR183/ROBO1/CMTM8/CCL19/CYP7B1/ANO6/EGR3/CXCR2/SEMA4B/FLRT2/S100A4/GPSM3/LTB4R2/ITGB3/MMP28/CCL5/CCL4",91
"GO:0002237","response to molecule of bacterial origin","76/2044","375/18860",0.202666666666667,1.87000652315721,5.93289745433977,4.8153327000251e-08,3.60487844255629e-05,3.03492679383161e-05,"UPF1/TAC1/SELE/SLC11A1/SBNO2/FCGR2B/EDN1/ABCB1/MGST2/TREM2/CSF2RB/PCK2/MMP9/SLC7A5/PYCARD/LILRB1/SERPINE1/CCL2/NFKB1/ERBIN/PLSCR4/IL1A/GBP3/TNFSF4/MMP8/TNFAIP3/NR4A1/AKAP12/TRIM5/CD180/EDNRB/TLR4/TLR2/CASP1/SMAD6/IRF8/IFNAR1/S100A8/NFKBIZ/TNIP1/CCL28/CD96/GBP5/LY96/SPON2/CCR5/ALPL/GBP2/VCAM1/HMGB2/CASP7/C2/B2M/NOD2/SRR/CX3CR1/IL12A/TNIP2/CXCL10/PTAFR/CXCL8/FOS/CD14/MALT1/CEBPB/MYD88/TRIB1/TLR1/PTPN11/IRAK1/FCAR/TLR5/ARID5A/PLCG2/CARD16/DIO2",76
"GO:0002274","myeloid leukocyte activation","57/2044","255/18860",0.223529411764706,2.06250719465869,5.95560052043718,7.45469886375604e-08,4.96068794389277e-05,4.17637515291128e-05,"MCUB/TYROBP/SLC11A1/CD74/LCP2/SBNO2/CD84/JMJD6/FCGR2B/IL4R/STARD7/LAT2/SNAP23/TREM2/DHRS2/PYCARD/LTBR/IL1RL1/IL18RAP/PLA2G4A/MMP8/NR4A3/NR4A1/MT1G/CD93/SYT11/TLR4/CALHM2/CRTC3/HSPD1/MFHAS1/S100A12/TGFBR2/PRKCD/F2RL1/SYK/LRFN5/PTGDR/CX3CR1/TNIP2/CXCL8/ADORA2B/MYD88/C1QA/TLR1/PTPN11/GATA2/CXCR2/TMEM106A/FCAR/LILRB4/MAPT/PLSCR1/PLCG2/FCGR3A/CCL5/MILR1",57
"GO:0002286","T cell activation involved in immune response","38/2044","142/18860",0.267605633802817,2.46919875416885,6.12679612168006,8.96226587542189e-08,5.36750103279017e-05,4.51886879402851e-05,"ITGAL/TYROBP/SLC11A1/CD74/RC3H2/RAB27A/FCGR2B/IL4R/ICAM1/TREM2/LILRB1/JAK3/MDK/CD69/BCL6/CD46/TNFSF4/NCKAP1L/FGL2/CRACR2A/LCP1/GPR65/NFKBIZ/IL6R/F2RL1/CLEC4E/NFKBID/STAT3/IL12A/GPR183/JUNB/PTGER4/MALT1/CCL19/SOCS3/IFNA2/HLA-DRB1/HLA-DRA",38
