"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","35/1066","105/9376",0.333333333333333,2.93183239524703,7.12958961465172,1.67709840682744e-09,5.83630245575949e-07,4.20157285078875e-07,"8837/9020/7132/5743/3383/29760/4616/10673/3551/4790/329/4055/3554/7128/7706/5328/8740/7186/10912/7187/7099/597/79092/23643/115650/7412/6850/3576/929/10892/6363/4615/3654/5336/6351",35
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","48/1066","181/9376",0.265193370165746,2.33250754097001,6.48331055016987,1.01432551020999e-08,1.76492638776539e-06,1.27057616542094e-06,"843/9902/637/972/7132/2213/7042/4790/5602/10312/3552/1509/7043/718/5894/7099/7097/3687/2212/3329/2209/22925/1054/808/2215/1520/6850/26253/64127/3592/929/10892/1051/4615/7096/3119/3654/3440/3123/3117/3127/1378/2214/3111/3122/3115/3113/3588",48
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","27/1066","78/9376",0.346153846153846,3.04459517967961,6.49416908094816,4.98495398854976e-08,4.33690997003829e-06,3.12215539282853e-06,"2773/29108/10392/4790/5602/3552/3659/718/7099/834/3394/710/23643/714/715/808/840/717/3592/3576/2353/929/4615/713/712/716/3654",27
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","27/1066","78/9376",0.346153846153846,3.04459517967961,6.49416908094816,4.98495398854976e-08,4.33690997003829e-06,3.12215539282853e-06,"5743/7042/4689/4790/3552/7043/718/2002/7099/7097/2212/2209/2215/3592/2353/4615/3119/3654/3123/3117/3127/1378/2214/3111/3122/3115/3113",27
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","46/1066","180/9376",0.255555555555556,2.24773816968939,6.05374273328566,7.00461053397378e-08,4.87520893164575e-06,3.50967854123318e-06,"637/972/7132/4938/6732/3551/56829/6347/4790/329/6428/6429/6431/718/8740/7186/7187/7097/5371/3454/3455/6427/115004/6850/567/6890/3592/4615/5781/3119/3654/9021/340061/1978/3440/3123/3117/3127/3111/3122/3115/3113/3106/3690/9641/6352",46
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","53/1066","224/9376",0.236607142857143,2.08107745912624,5.86525021811761,1.14290871064502e-07,6.6288705217411e-06,4.77214514269323e-06,"3683/9020/920/7132/5566/3383/7042/3551/3718/7046/10488/4790/5602/595/25906/4055/1871/7850/3554/6513/7043/1958/113/1017/1026/2002/468/8881/9700/4609/64784/1029/1111/2114/115650/4487/7048/10393/9232/119504/567/2353/3119/11200/3123/51434/3117/3127/3111/3122/3115/3113/3106",53
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","27/1066","88/9376",0.306818181818182,2.69861845471602,5.73376381517692,8.08151256037497e-07,4.0176662443007e-05,2.89233081108157e-05,"966/3053/5054/7450/730/4179/2152/5328/2162/718/5648/3687/710/714/715/2151/3818/717/713/712/2/716/5627/5104/5265/1378/3426",27
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","47/1066","205/9376",0.229268292682927,2.01652862307235,5.27050129433848,1.55898998553599e-06,6.78160643708155e-05,4.8821002178627e-05,"3683/9020/637/864/4938/3383/29760/4616/3551/3718/4790/5602/595/1871/7128/1017/1026/7186/10912/7187/4609/7097/953/3454/4794/3455/6850/5702/567/6890/6774/3627/4615/5708/3119/3654/3440/3123/3117/5336/3127/3111/3122/3115/3113/3106/9641",47
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","32/1066","119/9376",0.26890756302521,2.36517571381273,5.36772961329761,2.10254600653643e-06,8.12984455860754e-05,5.85270116439382e-05,"843/8837/9020/6401/7132/5743/1906/3383/9252/4318/3551/10488/1326/6347/4790/5602/329/7128/3659/83786/7186/468/7187/7412/840/64127/3627/2353/3726/1051/9021/6352",32
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","28/1066","99/9376",0.282828282828283,2.48761536566415,5.32927588394356,3.10159091259768e-06,0.000107935363758399,7.77030144419209e-05,"3683/2213/3383/6404/718/5648/2212/2209/714/715/2215/717/5724/3880/713/712/3119/716/2204/3123/3117/3127/2214/3111/3122/3426/3115/3113",28
