"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","136/7416","208/18860",0.653846153846154,1.66282881088706,7.73794445277599,2.06607787370387e-14,1.3165048211241e-10,1.16679029393908e-10,"RPS20/RNH1/RPL26L1/EIF4B/RPL18/PKM/DHX29/FTSJ1/RPL31/PKP1/RPS5/EIF3I/RPL6/RPLP0/EIF3L/GTPBP1/RPL3/MCTS2/EIF3E/EEF1D/RPS16/RPS19/RPL18A/EIF3B/RHEB/EIF4H/EIF3A/RPL28/RPL19/RPS6KB1/RPL34/RPS13/EIF2B1/RBM24/RPS12/CPEB4/NPRL2/RPL24/FXR1/EIF2B4/RPS15/RPL22/RRAGC/RPL21/RPL5/RPS10/MIF4GD/RPL23/WDR24/RPL36/EIF3G/SH3BGRL/RPL27/PRKAA1/UNK/RPS15A/SYNCRIP/DHX9/NCBP1/RPL35/CPEB2/RPS24/PARP16/HNRNPD/DENR/NAA30/RPS2/AKT1/RPS11/RPL13A/RPL11/RPS8/RPS27A/RPL32/EIF2B5/RPS3A/RPL37/OGT/RPL10/RPL7/RPL7A/EIF3M/RPS3/LAMTOR1/FAU/FBXO4/HNRNPU/RRAGA/RPL8/ZNF385A/EIF4A1/RPL26/RPL29/PRKAA2/RPL22L1/RPL9/ABCE1/RPS14/SAMTOR/RPL27A/RPL13/EEF2/RPSA/RPS9/RPS21/RPS7/RPL38/RPL4/RPL15/DHX36/KCMF1/RPLP2/RPS27/EIF3K/RPL35A/EIF3C/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/YTHDF2/RPL10A/RPL39/RACK1/AKT1S1/EIF3CL/CPEB1/UBA52/RPL41/RPS18/RPS28/RPL36A/RPL17",136
"GO:0045333","cellular respiration","195/7416","336/18860",0.580357142857143,1.47593523655417,7.08606902410782,2.14633309465187e-12,6.83821723956085e-09,6.06056686989857e-09,"HCCS/PDK2/MLXIPL/UQCRC1/MDH1/IGF1/NDUFS1/OPN3/PUM2/NDUFB4/PKM/IDH3G/HDAC4/PRKACA/SIRT6/SLC4A4/PSEN1/P2RX7/SIRT4/NDUFB2/MSH2/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/PGK1/HTR2A/ANTKMT/BCKDK/GPI/NOP53/ETFB/OGDH/CHCHD2/PRKAG2/LIPA/PPIF/GIT1/ALDOC/NDUFC1/PPARGC1A/MTCH2/NDUFS8/GAPDH/TPI1/COX6A1/COX7A2/NNT/PPP2CA/PFKFB4/NDUFS7/COQ10B/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/NR4A3/IDE/PIK3CA/SLC25A51/CISD1/PFKFB2/NDP/NDUFA1/CHCHD5/SLC25A23/PANK2/COX6B1/COX7C/UQCR11/CBFA2T3/ATP5IF1/COX4I1/NDUFA2/RAN/PRKAA1/MYBBP1A/XPO4/CCNB1/COQ10A/COX5B/ISCU/SUCLA2/NDUFB5/ALDOB/IER3/YAP1/PNPT1/MDH1B/NDUFA9/ETFA/NDUFB10/FOXK2/PFKL/IFNAR1/PRDM16/MPC2/ARNT/VPS54/NDUFS6/MTFR2/NDUFB11/OGT/NDUFB9/SURF1/SLC25A25/ALDOA/ATPSCKMT/DLAT/NDUFC2/ATP5F1A/PDK1/PFKM/SDHAF4/UCHL1/ATP5PF/OXA1L/UQCRB/HKDC1/PRXL2C/PFKFB1/PINK1/NDUFS2/HK2/NDUFV3/SLC2A6/JMJD8/PRKAA2/AK4/SUCLG1/UQCRQ/PGAM2/FOXK1/COX6C/ATP7A/NDUFB6/STOML2/NDUFB8/IDH3A/TMEM135/ATP5MG/GPD1/NDUFV1/ATP5PD/MLST8/PDHB/ATP5ME/UQCRFS1/PRELID1/PFKFB3/NDUFA3/INSR/PGAM1/TEFM/NDUFA11/UCP2/MTLN/COX8A/DNAJC30/C2orf69/NDUFV2/PLEC/COX5A/ZBTB7A/SHMT2/UQCR10/NDUFA12/NDUFA6/NDUFA13/ENO4/COXFA4/SRC/OGDHL/MT-CO2/MT-ND5/MT-CO1/MT-ND3/MT-ATP6/SDHD/UQCC3/ETFRF1/NDUFS3/CSKMT/PGAM4/MT-ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/IL10RB/NDUFA7",195
"GO:0009060","aerobic respiration","173/7416","297/18860",0.582491582491583,1.48136343659537,6.73104521101476,2.45466688653153e-11,3.53558793332546e-08,3.13351657949105e-08,"PDK2/MLXIPL/UQCRC1/MDH1/IGF1/NDUFS1/NDUFB4/PKM/IDH3G/HDAC4/PRKACA/SIRT6/SLC4A4/PSEN1/P2RX7/SIRT4/NDUFB2/MSH2/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/PGK1/HTR2A/ANTKMT/BCKDK/GPI/NOP53/OGDH/CHCHD2/PRKAG2/LIPA/PPIF/GIT1/ALDOC/NDUFC1/MTCH2/NDUFS8/GAPDH/TPI1/COX6A1/COX7A2/NNT/PPP2CA/PFKFB4/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/NDUFB3/NDUFA8/IDE/SLC25A51/PFKFB2/NDP/NDUFA1/SLC25A23/PANK2/COX6B1/COX7C/UQCR11/CBFA2T3/ATP5IF1/COX4I1/NDUFA2/RAN/PRKAA1/XPO4/CCNB1/COX5B/ISCU/SUCLA2/NDUFB5/ALDOB/IER3/YAP1/MDH1B/NDUFA9/NDUFB10/FOXK2/PFKL/MPC2/ARNT/NDUFS6/MTFR2/NDUFB11/OGT/NDUFB9/SURF1/ALDOA/ATPSCKMT/DLAT/NDUFC2/ATP5F1A/PDK1/PFKM/SDHAF4/UCHL1/ATP5PF/OXA1L/UQCRB/HKDC1/PRXL2C/PFKFB1/PINK1/NDUFS2/HK2/NDUFV3/SLC2A6/JMJD8/PRKAA2/AK4/SUCLG1/UQCRQ/PGAM2/FOXK1/COX6C/ATP7A/NDUFB6/STOML2/NDUFB8/IDH3A/TMEM135/ATP5MG/GPD1/NDUFV1/ATP5PD/MLST8/PDHB/ATP5ME/UQCRFS1/PFKFB3/NDUFA3/INSR/PGAM1/TEFM/NDUFA11/UCP2/COX8A/DNAJC30/C2orf69/NDUFV2/COX5A/ZBTB7A/SHMT2/UQCR10/NDUFA12/NDUFA6/NDUFA13/ENO4/COXFA4/SRC/OGDHL/MT-CO2/MT-ND5/MT-CO1/MT-ND3/MT-ATP6/SDHD/UQCC3/ETFRF1/NDUFS3/CSKMT/PGAM4/MT-ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/NDUFA7",173
"GO:0006091","generation of precursor metabolites and energy","266/7416","494/18860",0.538461538461538,1.36938843249523,6.69722272154419,2.63306974130736e-11,3.53558793332546e-08,3.13351657949105e-08,"HCCS/CROT/PDK2/MLXIPL/UQCRC1/GIPR/MDH1/IGF1/NDUFS1/RB1CC1/PPP1R3F/MCUR1/OPN3/PUM2/GYG2/PDIA5/NDUFB4/ATG2B/PKM/IDH3G/HDAC4/ADGRF5/WIPI1/PRKACA/ACADVL/ACAT1/ACACB/SIRT6/SLC4A4/PSEN1/SLC27A5/MT3/P2RX7/SIRT4/NDUFB2/MSH2/SORBS1/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/PGK1/HTR2A/PHKB/ANTKMT/BCKDK/GYS1/GPI/NOP53/ETFB/GSK3A/OGDH/CHCHD2/PRKAG2/TYRP1/LIPA/PPIF/GIT1/ALDOC/NDUFC1/PPARGC1A/MTCH2/NDUFS8/GAPDH/TPI1/COX6A1/PPARD/EPM2A/COX7A2/NNT/GNPDA1/PPP2CA/PFKFB4/GBE1/NDUFS7/COQ10B/COX7A2L/PARK7/ATP5PB/LEPR/SDHB/HMGCL/NDUFB3/NDUFA8/NR4A3/IDE/PPP1R3C/PIK3CA/SLC25A51/CISD1/PFKFB2/NDP/NDUFA1/CHCHD5/SLC25A23/PANK2/COX6B1/NR1D1/COX7C/DYRK2/UQCR11/CBFA2T3/ATP5IF1/COX4I1/GFPT2/NDUFA2/RAN/PRKAA1/INPP5K/MYBBP1A/XPO4/CCNB1/IL6ST/MRAP2/COQ10A/COX5B/ISCU/SUCLA2/NDUFB5/ALDOB/IER3/YAP1/FDX1/PNPT1/MDH1B/COX17/GABARAPL1/NDUFA9/ETFA/NDUFB10/FOXK2/PFKL/IFNAR1/AKT1/PRDM16/PGD/MPC2/ADCY10/ARNT/VPS54/NDUFS6/ATG12/HMGCLL1/MTFR2/NDUFB11/OGT/NDUFB9/SURF1/SLC25A25/ALDOA/ATPSCKMT/DLAT/NDUFC2/SLC25A4/ATP5F1A/PDK1/PFKM/GPR180/PID1/SDHAF4/UCHL1/ATP5PF/OXA1L/UQCRB/HKDC1/PHKG2/PRXL2C/PFKFB1/PINK1/NDUFS2/HK2/NDUFV3/G6PD/SLC2A6/FDXR/ACOX1/JMJD8/PRKAA2/AK4/AGL/SUCLG1/GYG1/TKT/UQCRQ/PGAM2/FOXK1/COX6C/ATP7A/NDUFB6/STOML2/NDUFB8/IDH3A/TMEM135/ACSM1/IGF2/ATP5MG/GPD1/NDUFV1/ATP5PD/MLST8/RBPJ/THAP11/PDHB/ATP5ME/UQCRFS1/PRELID1/UGP2/PFKFB3/NDUFA3/CAVIN3/INSR/RBKS/PGAM1/CXXC5/TEFM/PPP1CA/PPP1R3B/NDUFA11/UCP2/MTLN/COX8A/DNAJC30/C2orf69/NDUFV2/PLEC/EPM2AIP1/COX5A/ZBTB7A/SHMT2/UQCR10/NDUFA12/NDUFA6/IRS2/NDUFA13/PPP1CC/NHLRC1/ENO4/COXFA4/STK40/WDR45/SRC/SHPK/OGDHL/MT-CO2/OXCT2/MT-ND5/MT-CO1/MT-ND3/MT-ATP6/SDHD/UQCC3/ETFRF1/NDUFS3/PPP1CB/CSKMT/PGAM4/MT-ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/IL10RB/THTPA/NDUFA7",266
"GO:0015980","energy derivation by oxidation of organic compounds","238/7416","434/18860",0.548387096774194,1.3946306155827,6.69538218719124,2.77431570411603e-11,3.53558793332546e-08,3.13351657949105e-08,"HCCS/PDK2/MLXIPL/UQCRC1/MDH1/IGF1/NDUFS1/RB1CC1/PPP1R3F/OPN3/PUM2/GYG2/NDUFB4/ATG2B/PKM/IDH3G/HDAC4/ADGRF5/WIPI1/PRKACA/ACADVL/SIRT6/SLC4A4/PSEN1/MT3/P2RX7/SIRT4/NDUFB2/MSH2/SORBS1/ATP5F1D/NDUFB7/ACO2/HIF1A/IDH3B/SLC25A14/PGK1/HTR2A/PHKB/ANTKMT/BCKDK/GYS1/GPI/NOP53/ETFB/GSK3A/OGDH/CHCHD2/PRKAG2/LIPA/PPIF/GIT1/ALDOC/NDUFC1/PPARGC1A/MTCH2/NDUFS8/GAPDH/TPI1/COX6A1/EPM2A/COX7A2/NNT/PPP2CA/PFKFB4/GBE1/NDUFS7/COQ10B/COX7A2L/PARK7/ATP5PB/LEPR/SDHB/NDUFB3/NDUFA8/NR4A3/IDE/PPP1R3C/PIK3CA/SLC25A51/CISD1/PFKFB2/NDP/NDUFA1/CHCHD5/SLC25A23/PANK2/COX6B1/NR1D1/COX7C/DYRK2/UQCR11/CBFA2T3/ATP5IF1/COX4I1/GFPT2/NDUFA2/RAN/PRKAA1/INPP5K/MYBBP1A/XPO4/CCNB1/IL6ST/MRAP2/COQ10A/COX5B/ISCU/SUCLA2/NDUFB5/ALDOB/IER3/YAP1/PNPT1/MDH1B/GABARAPL1/NDUFA9/ETFA/NDUFB10/FOXK2/PFKL/IFNAR1/AKT1/PRDM16/MPC2/ADCY10/ARNT/VPS54/NDUFS6/ATG12/MTFR2/NDUFB11/OGT/NDUFB9/SURF1/SLC25A25/ALDOA/ATPSCKMT/DLAT/NDUFC2/ATP5F1A/PDK1/PFKM/PID1/SDHAF4/UCHL1/ATP5PF/OXA1L/UQCRB/HKDC1/PHKG2/PRXL2C/PFKFB1/PINK1/NDUFS2/HK2/NDUFV3/SLC2A6/JMJD8/PRKAA2/AK4/AGL/SUCLG1/GYG1/UQCRQ/PGAM2/FOXK1/COX6C/ATP7A/NDUFB6/STOML2/NDUFB8/IDH3A/TMEM135/ACSM1/IGF2/ATP5MG/GPD1/NDUFV1/ATP5PD/MLST8/PDHB/ATP5ME/UQCRFS1/PRELID1/UGP2/PFKFB3/NDUFA3/CAVIN3/INSR/PGAM1/TEFM/PPP1CA/PPP1R3B/NDUFA11/UCP2/MTLN/COX8A/DNAJC30/C2orf69/NDUFV2/PLEC/EPM2AIP1/COX5A/ZBTB7A/SHMT2/UQCR10/NDUFA12/NDUFA6/IRS2/NDUFA13/PPP1CC/NHLRC1/ENO4/COXFA4/STK40/WDR45/SRC/OGDHL/MT-CO2/MT-ND5/MT-CO1/MT-ND3/MT-ATP6/SDHD/UQCC3/ETFRF1/NDUFS3/PPP1CB/CSKMT/PGAM4/MT-ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/IL10RB/NDUFA7",238
"GO:1901293","nucleoside phosphate biosynthetic process","186/7416","332/18860",0.560240963855422,1.42477677701096,6.28594826698901,4.07499304050983e-10,4.32764260902144e-07,3.83549783549741e-07,"PDK2/ELOVL5/PGM3/NDUFS1/SLC4A7/ADSS2/CTPS2/RRM2B/GUCA1A/LETMD1/GUCY1B1/SPHK2/NDUFB4/ME1/ACSL4/FAM3A/ACAT1/VPS9D1/ACACB/AK6/SIRT4/NDUFB2/UPRT/NANS/TREM2/ATP5F1D/NDUFB7/TECR/PMM1/SLC52A3/PGK1/DHODH/NME3/NME4/ANTKMT/QPRT/BCKDK/GFUS/GCDH/IMPDH1/PRKAG2/NMRK1/LIPA/NDUFC1/UGDH/NDUFS8/CMAS/GMDS/NUDT12/NPR3/GNPDA1/UMPS/NDUFS7/AMPD2/ATP5PB/KMO/SDHB/UAP1/NDUFB3/NDUFA8/PANK3/ADCY7/ACSL3/PTGIS/NDUFA1/PANK2/PPCS/PPAT/DUT/ADCY4/ATP5IF1/ACSS2/PPT1/GFPT2/ACLY/NDUFA2/AMPD3/CMPK2/NDUFB5/PARP9/PARP16/PAPSS1/NDUFA9/AK7/SLC27A2/NDUFB10/PRPSAP2/NME7/MPC2/ADCY10/GUK1/GMPPA/CBR4/NDUFS6/NDUFB11/PRPS1/NDUFB9/AK3/HSD17B12/ALDOA/ATPSCKMT/DLAT/NDUFC2/ACSL1/ATP5F1A/PDK1/GUCY1A2/PID1/ATP5PF/ADK/DCK/ATP5MJ/FCSK/PANK4/PINK1/NDUFS2/ATP5MC1/NDUFV3/DIP2A/AMDHD2/CMPK1/AK4/GNPDA2/GMPS/MTHFD2L/NMNAT3/GUCY1A1/ELOVL7/ACSL6/SLC35A1/NUDT2/NDUFB6/STOML2/HPRT1/NDUFB8/NNMT/ATP5MG/RRM1/NDUFV1/ATP5PD/TK1/PDHB/DTYMK/ATP5ME/NPR1/UGP2/NANP/ELOVL6/NDUFA3/SLC22A13/DCAKD/NMNAT1/ADCY6/NDUFA11/NPPA/DNAJC30/SHMT1/IMPDH2/NDUFV2/MPI/PFAS/AFMID/UPP1/NDUFA12/NDUFA6/ADSS1/NDUFA13/ACSL5/UAP1L1/ELOVL2/UCKL1/MT-ND5/MT-ND3/MT-ATP6/APRT/SDHD/ASPDH/UQCC3/HACD2/NDUFS3/MT-ATP8/NME1/ATP5MF/ATP5PO/SLC5A8/NDUFA7",186
"GO:0006163","purine nucleotide metabolic process","242/7416","454/18860",0.533039647577093,1.35559975098489,6.17397593024638,7.39713341735188e-10,6.73350487648088e-07,5.96776252392373e-07,"BAD/CD38/MLXIPL/MDH1/IGF1/NDUFS1/SLC4A7/ADSS2/GUCA1A/LETMD1/GUCY1B1/SPHK2/GNAI3/NDUFB4/ME1/PKM/HDAC4/RORA/FAM3A/PRKACA/VPS9D1/ACACB/NT5C2/SIRT6/SLC4A4/PSEN1/ME2/PTHLH/SULT2B1/P2RX7/NDUFB2/FMO2/TREM2/ATP5F1D/NDUFB7/GTPBP1/TSPO/HIF1A/GMPR2/PGK1/HTR2A/NME3/NME4/ANTKMT/QPRT/GPI/PDE4C/OGDH/IMPDH1/PRKAG2/NMRK1/LIPA/GIT1/SLC25A11/ALDOC/NDUFC1/MTCH2/NDUFS8/GAPDH/TPI1/LDHB/RAB23/PDE10A/DNPH1/NUDT12/NNT/PDE8B/NPR3/PDE4D/PPP2CA/PFKFB4/ATP6V1A/ABHD14B/TP53I3/NDUFS7/AMPD2/ATP5PB/NT5C1A/KMO/SDHB/NDUFB3/TJP2/NDUFA8/RHOQ/ADCY7/NUDT10/PFKFB2/PTGIS/NDUFA1/NT5C/ITPA/PPAT/TPST2/ADCY4/CBFA2T3/ATP5IF1/MPP1/NDUFA2/RAN/PRKAA1/XPO4/AMPD3/NT5E/NUDT15/NDUFB5/ALDOB/IER3/YAP1/MDH1B/PARP9/PARP16/PAPSS1/NDUFA9/NDUFB10/PRPSAP2/FOXK2/PFKL/PGD/NME7/ADCY10/ARNT/GUK1/NDUFS6/CASK/NDUFB11/OGT/PRPS1/ATP6V1B2/NDUFB9/AK3/SLC25A25/ALDOA/ATPSCKMT/NOCT/NDUFC2/ATP5F1A/GUCY1A2/PFKM/GPD1L/PID1/UCHL1/ATP5PF/ADK/DCK/ATP5MJ/HKDC1/PRXL2C/PFKFB1/PINK1/NDUFS2/ATP5MC1/HK2/PDE9A/NDUFV3/G6PD/SLC2A6/JMJD8/PRKAA2/AK4/GMPS/MTHFD2L/NMNAT3/TKT/GUCY1A1/PGAM2/FOXK1/NUDT2/ATP7A/NDUFB6/STOML2/HPRT1/NDUFB8/NNMT/ATP5MG/GPD1/NDUFV1/ATP5PD/MLST8/ATP5ME/NPR1/HINT1/DCXR/TPST1/PFKFB3/NDUFA3/INSR/MFN1/RBKS/PGAM1/PDE7B/SLC22A13/SULT1B1/NUDT4/NMNAT1/ADCY6/NDUFA11/NPPA/UCP2/DNAJC30/SLC25A22/IMPDH2/NDUFV2/PFAS/ZBTB7A/GIMAP7/LACC1/SLC25A18/AFMID/PDE4B/NDUFA12/NDUFA6/ADSS1/NDUFA13/NUDT17/ENO4/SRC/SULT1A2/SHPK/OGDHL/ENTPD7/CARD11/NUDT16/MT-ND5/OPA1/MT-ND3/MT-ATP6/APRT/SDHD/ASPDH/UQCC3/PDE7A/NDUFS3/FIS1/PGAM4/PARG/MT-ATP8/NME1/ATP5MF/ATP5PO/EIF6/SLC5A8/NDUFA7",242
"GO:0022613","ribonucleoprotein complex biogenesis","260/7416","496/18860",0.524193548387097,1.33310279430699,6.05188599665247,1.5054910350723e-09,1.19912360943509e-06,1.06275781620564e-06,"LAS1L/LUC7L/TSR3/STRAP/TFB1M/RPL26L1/MTREX/LSG1/NOP16/CELF2/MRTO4/NOP58/USP36/RIOK2/SFSWAP/EIF4B/U2AF2/DHX29/BUD23/SART3/EXOSC7/EXOSC5/XRCC5/REXO1/XPO1/DIS3/RPS5/YTHDC1/WBP11/EIF3I/AK6/DIMT1/NOP14/SF3B2/ESF1/RPLP0/AGO1/HSP90AB1/SF3A1/SNRPD3/PES1/EIF3L/SNU13/MCAT/PHF5A/PRMT5/SRSF5/DICER1/CINP/MTG2/CRNKL1/MCTS2/EIF3E/ERI1/PIH1D1/ERCC2/SF3A2/POP4/RPS16/RPS19/NOP53/PRPF31/DDX49/EIF3B/EIF4H/SETX/EIF3A/GTPBP4/C1QBP/GAR1/FRG1/RPS13/PTGES3/DDX55/NOP2/PAK1IP1/MDN1/RPS12/PRP4K/RPL24/RRP9/RPS15/WDR75/NOL10/PNO1/ZNHIT6/PRPF3/PTBP2/HEATR1/EXOSC8/UTP20/MTERF4/RPL5/MRM2/DDX54/AGO2/SRSF6/DDX27/MPHOSPH10/SNRPC/RPP40/SNRPD2/SNRPB/AGO3/EMG1/KRI1/GNL3L/NSUN5/LSM4/EIF3G/DKC1/NOL11/AAR2/RPL27/RRP8/RAN/MYBBP1A/NIP7/KHDC4/RPS15A/AGO4/WDR36/GLUL/RNASEL/DHX9/DDX56/IMP4/NCBP1/RPL35/RSL24D1/RPS24/WDR12/SCAF11/MYG1/DENR/CUL4A/NOL3/UTP4/NOB1/PELP1/EIF4A3/TXNL4A/GEMIN7/RPS11/RPL13A/RPL11/RPS8/ISG20L2/RPS27A/SNRPG/EIF2A/AFG2A/NAF1/RPS3A/DDX46/NHP2/NOM1/LUC7L2/RPL7/CDKN2A/SURF6/REXO4/RPL7A/RPP30/EIF3M/ATM/FAU/DHX37/RPP38/MTERF3/EIF5B/TSR2/CELF3/RRP1B/RRP1/SLX9/RPL26/NOL9/LSM6/NSA2/RPS14/PSIP1/NOL6/RPUSD4/RPUSD2/NOLC1/RPSA/SF1/USP39/CD2BP2/ZRSR2/NMD3/METTL15/SF3B5/PA2G4/RPS9/CHD7/RPS21/RPS7/POP7/RPL38/TRMT112/ZNF622/EIF1AX/SART1/RUVBL1/RBIS/RPS27/IMP3/DDX10/NSUN3/RPP25/EXOSC4/EIF3K/RRS1/PRKRA/SNRPE/NOP10/NGRN/RBM10/RPL35A/RUVBL2/SF3A3/TBL3/EIF3C/TSSC4/SRPK3/RPS27L/DDX51/PRPF39/RPS23/RPS19BP1/SIRT7/RBM34/RPL14/NOC2L/RPS4X/MAK16/SDAD1/YTHDF2/DDX39B/NUDT16/RNU5E-1/RNU5A-1/RNU5B-1/RNU5D-1/RNU4-1/LSM2/SMN1/EIF3CL/RNU6-1/DDX3X/RNU6ATAC/EXOSC6/RPS28/PWP2/EIF6/MPV17L2/FDXACB1/RNU4ATAC",260
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","51/7416","68/18860",0.75,1.90736245954693,6.03398224448914,2.30898957508661e-09,1.63476461916132e-06,1.44885720120932e-06,"NDUFS1/NDUFB4/NDUFB2/ATP5F1D/NDUFB7/ANTKMT/NDUFC1/NDUFS8/NDUFS7/ATP5PB/SDHB/NDUFB3/NDUFA8/NDUFA1/ATP5IF1/NDUFA2/NDUFB5/NDUFA9/NDUFB10/NDUFS6/NDUFB11/NDUFB9/ATPSCKMT/NDUFC2/ATP5F1A/ATP5PF/NDUFS2/NDUFV3/NDUFB6/STOML2/NDUFB8/ATP5MG/NDUFV1/ATP5PD/ATP5ME/NDUFA3/NDUFA11/DNAJC30/NDUFV2/NDUFA12/NDUFA6/NDUFA13/MT-ND5/MT-ND3/MT-ATP6/SDHD/NDUFS3/MT-ATP8/ATP5MF/ATP5PO/NDUFA7",51
"GO:0019693","ribose phosphate metabolic process","211/7416","392/18860",0.538265306122449,1.36888938423266,5.94134161668487,3.08815117225179e-09,1.96766473528195e-06,1.74389951180951e-06,"BAD/MLXIPL/IGF1/NDUFS1/ADSS2/CTPS2/LETMD1/GUCY1B1/SPHK2/GNAI3/NDUFB4/PKM/HDAC4/RORA/FAM3A/PRKACA/VPS9D1/NT5C2/SIRT6/SLC4A4/PSEN1/PTHLH/SULT2B1/P2RX7/NDUFB2/UPRT/TREM2/ATP5F1D/NDUFB7/UPB1/GTPBP1/TSPO/HIF1A/GMPR2/PGK1/HTR2A/DHODH/NME3/NME4/ANTKMT/GPI/PDE4C/OGDH/IMPDH1/PRKAG2/LIPA/GIT1/ALDOC/NDUFC1/MTCH2/NDUFS8/GAPDH/TPI1/RAB23/PDE10A/PDE8B/NPR3/PDE4D/PPP2CA/PFKFB4/UMPS/ATP6V1A/ABHD14B/NDUFS7/AMPD2/ATP5PB/NT5C1A/SDHB/NDUFB3/TJP2/NDUFA8/RHOQ/ADCY7/NUDT10/PFKFB2/NDUFA1/NT5C/ITPA/PPAT/TPST2/ADCY4/CBFA2T3/ATP5IF1/MPP1/NDUFA2/RAN/PRKAA1/XPO4/AMPD3/NT5E/NDUFB5/ALDOB/IER3/YAP1/PAPSS1/NDUFA9/NDUFB10/PRPSAP2/FOXK2/PFKL/NME7/ADCY10/ARNT/GUK1/NDUFS6/CASK/NDUFB11/OGT/PRPS1/ATP6V1B2/NDUFB9/AK3/SLC25A25/ALDOA/ATPSCKMT/NDUFC2/ATP5F1A/GUCY1A2/PFKM/PID1/UCHL1/ATP5PF/ADK/DCK/ATP5MJ/HKDC1/PRXL2C/PFKFB1/PINK1/NDUFS2/ATP5MC1/HK2/PDE9A/NDUFV3/G6PD/SLC2A6/JMJD8/CMPK1/PRKAA2/AK4/GMPS/GUCY1A1/PGAM2/FOXK1/NUDT2/ATP7A/NDUFB6/STOML2/HPRT1/NDUFB8/ATP5MG/GPD1/NDUFV1/ATP5PD/MLST8/ATP5ME/NPR1/HINT1/TPST1/PFKFB3/NDUFA3/INSR/MFN1/PGAM1/PDE7B/SULT1B1/NUDT4/NMNAT1/ADCY6/NDUFA11/NPPA/UCP2/DNAJC30/IMPDH2/NDUFV2/PFAS/ZBTB7A/GIMAP7/UPP1/NUDT14/PDE4B/NDUFA12/NDUFA6/ADSS1/NDUFA13/ENTPD5/ENO4/SRC/SULT1A2/OGDHL/ENTPD7/UCKL1/CARD11/MT-ND5/OPA1/MT-ND3/MT-ATP6/APRT/SDHD/UQCC3/PDE7A/NDUFS3/FIS1/PGAM4/PARG/MT-ATP8/NME1/ATP5MF/ATP5PO/EIF6/NDUFA7",211
