"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","139/3554","235/9376",0.591489361702128,1.56044013936948,6.79789666299124,1.9917672828277e-11,5.3637266546346e-09,3.74793315498534e-09,"7384/8193/1355/4719/84699/4710/2182/5566/27330/11343/51412/51548/2260/6595/6604/4708/513/4713/6655/6009/51422/10488/6198/4717/10891/4728/1337/1432/1347/374291/55818/6654/9167/1386/515/6390/8289/1268/4709/4702/113/2181/4694/1340/1350/10975/6597/196883/1327/4695/5565/5468/5562/3845/51241/1329/86/4711/10063/5593/4704/6601/4716/63976/5567/55811/148327/4726/9586/54539/4715/4718/2180/498/522/7381/90993/4720/516/4731/5563/285521/23305/27089/1345/4712/4714/10818/10632/4723/10476/64223/521/7386/126129/4881/4696/112/3265/126328/4878/1351/57104/2885/25915/4729/84987/9377/51287/64764/493753/28958/71/29796/55967/4700/5600/5592/56901/51079/6300/4697/123096/51703/4217/4513/4540/4512/4537/4508/6392/84335/4722/4509/440567/90639/9551/539/4701",139
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","173/3554","308/9376",0.561688311688312,1.48182037433585,6.71758255889877,3.0562545040653e-11,5.3637266546346e-09,3.74793315498534e-09,"5439/1387/1770/5689/7384/5704/4719/9821/1767/5685/1175/5431/84699/4710/55102/8218/55062/5609/5289/7419/6507/9706/581/23186/4708/5714/513/4713/5434/5435/10126/5706/5684/5693/5432/10671/10382/5438/27113/6804/4899/10488/10105/5709/4717/10891/6506/4728/1337/1347/10120/374291/9167/515/6390/56171/4709/4702/1211/27019/60673/10376/4694/1340/22863/1350/10975/7277/7979/3092/5682/6874/11047/4294/1327/4695/55860/5468/1742/842/1329/4711/5695/11258/89953/7280/5330/10121/4704/4716/1213/6647/5694/5686/148327/4726/9586/54539/5440/4715/5331/4718/291/498/2893/522/2890/3798/2776/7381/90993/4720/516/5710/5692/4731/5701/5437/493869/836/27089/1345/4712/5702/4714/7846/4723/10476/5436/3800/7386/25942/3799/4696/5707/126328/10540/1212/84617/1351/627/2902/5441/4729/2081/9377/64764/161/29796/55967/4700/6667/56901/51079/8632/4697/4217/196385/4513/4540/4512/4537/4508/6392/1639/4722/4509/2876/440567/539/10381/4701/2904",173
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","196/3554","368/9376",0.532608695652174,1.40510386337501,6.19418760665951,7.65302181942158e-10,8.95403552872325e-08,6.25668099622887e-08,"572/1770/5689/7384/5704/4719/9821/1767/5685/7175/55706/4710/55102/55746/5217/55062/5289/9706/25978/581/2521/4708/3710/5714/513/4713/7494/10126/4744/5706/5684/5693/8480/84557/55916/80208/10671/4741/10382/23064/5709/5216/5608/4717/6506/4728/57122/1337/1432/9896/1347/9631/10120/374291/9167/515/6390/22926/56171/4709/2733/4702/348995/5533/23435/3181/27019/60673/10376/4694/1340/22863/8021/1350/10975/7277/7979/5682/10452/11047/1327/4695/55860/842/29979/5630/3178/1329/5879/4711/5695/4686/11258/89953/7280/834/10121/4704/9818/4716/6647/5694/5686/91181/5868/4726/54539/4715/4718/498/522/2890/116442/3798/7381/9542/65018/4720/84134/516/5710/5692/4731/56893/5701/2905/10482/129401/55255/493869/836/27089/1345/4712/5702/4714/4218/7846/4723/10476/3800/7386/145957/220988/3799/4696/598/596/9451/5707/9973/126328/1649/10540/84617/1351/375189/2902/4729/2066/2081/9377/10189/71/29796/55967/4700/5600/56901/10718/51079/8632/6300/5535/4697/9883/4217/196385/4513/4540/4512/4537/4508/6392/1639/23636/4722/642659/4509/2876/440567/539/400916/10381/4701/2904",196
"Genetic Information Processing","Translation","hsa03010","Ribosome","128/3554","222/9376",0.576576576576577,1.52109791276927,6.13901389257637,1.26987131521375e-09,1.11431207910007e-07,7.78631622223168e-08,"6224/51121/55173/84545/60488/64951/6141/6160/65993/6193/10573/6128/6175/6122/6217/51073/6223/6142/6158/6143/51264/6164/6207/51258/29074/6206/51069/10884/23107/6152/11222/6209/9801/51253/6146/6144/6125/6204/51081/9349/64949/6183/25873/64981/6155/7818/6210/65080/54534/11224/51187/6229/6187/6205/23521/6135/6202/65005/6233/64969/6161/6189/6167/6134/28957/6129/6130/6188/740/2197/54148/124995/6132/6154/6159/128308/200916/6133/6208/6157/6137/3921/6203/64979/6227/6201/28998/122704/6169/6124/65003/6138/6181/6232/64963/64975/51021/6165/116541/51065/64976/6228/9045/219927/6231/6168/6136/28977/6191/6147/4736/6170/64978/28973/10399/6150/7311/6171/6222/6234/51373/6173/9553/64968/26589/6182/6139/54460",128
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","149/3554","268/9376",0.555970149253731,1.4667349801359,6.05667801561495,1.94178914504689e-09,1.36313597982292e-07,9.52498675359843e-08,"5689/7384/5704/4719/55334/5685/2773/4710/815/5566/7419/581/4708/3710/5714/513/4713/7494/25828/5706/5684/5693/23516/10382/10105/5709/4717/4728/4891/1337/7922/1347/374291/27429/9167/4780/11315/515/6390/22926/4709/4702/1843/3709/10376/4694/1340/1350/10975/7277/7979/5682/11047/1327/4695/7326/842/1329/4711/5695/89953/7280/4704/4716/2774/25800/6647/6531/5694/5567/5686/27173/6233/4726/54539/4715/55630/1813/7316/4718/291/498/7345/522/3798/7381/9246/65018/4720/516/5710/5692/808/118424/4731/5701/836/27089/1345/4712/6571/91252/5702/4714/7846/4723/10476/3800/7386/7314/3799/2861/4696/55669/598/9451/5707/126328/1649/84617/1351/4729/2081/9377/7054/7318/29796/5413/55967/4700/56901/7332/51079/4697/57181/4217/4513/4540/4512/4537/4508/6392/4722/7311/4509/440567/539/10381/4701",149
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","86/3554","138/9376",0.623188405797101,1.64406710544559,5.95511198242219,4.32430184207133e-09,2.52971657761173e-07,1.7676532091274e-07,"7384/1355/4719/51606/4710/4708/513/4713/51382/4717/4728/10312/1337/1347/523/374291/9167/515/6390/533/4709/4702/4694/1340/1350/10975/9296/529/1327/4695/1329/4711/9550/10063/27068/4704/4716/245973/4726/54539/526/4715/4718/498/522/528/7381/4720/516/4731/27089/1345/4712/4714/10632/4723/10476/521/7386/4696/155066/126328/1351/4729/9377/5464/29796/55967/4700/23545/56901/51079/4697/4513/4540/4512/4537/4508/6392/4722/534/4509/440567/9551/539/4701",86
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","149/3554","275/9376",0.541818181818182,1.42939990791426,5.64666451880509,1.99723077029295e-08,9.17065756631775e-07,6.40804682246825e-07,"572/5689/7384/5704/4719/729/5685/84699/4710/1459/5566/7419/581/4708/3710/5714/513/4713/5594/5706/5684/5693/778/5595/10382/858/727/10488/10105/5709/4717/4728/1337/1432/1347/3552/374291/9167/1386/515/4688/6390/4709/4702/1958/5533/5290/3709/10376/4694/3553/1340/1350/10975/7277/7979/5682/11047/1327/4695/842/3915/1329/5879/4711/5695/89953/7280/4704/4716/6647/5694/5567/5686/148327/4726/5295/9586/54539/4715/4718/291/498/522/3798/7381/776/90993/653361/4720/714/516/5710/5692/4731/5701/2905/5580/836/27089/1345/4712/5702/4714/7846/4723/10476/3800/7386/3799/4696/5293/5621/9451/5707/126328/1649/84617/1351/2902/4729/9377/64764/29796/55967/4700/5600/56901/51079/6300/5535/4697/4513/4540/4512/4537/4508/6392/1460/4722/1388/4509/440567/539/283106/10381/4701/6352/2904",149
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","240/3554","480/9376",0.5,1.3190770962296,5.6069555353272,2.09017836269351e-08,9.17065756631775e-07,6.40804682246825e-07,"572/51384/1856/1770/5689/7384/5704/4719/9821/578/1767/5685/4710/55102/4040/55062/1459/815/5743/489/5609/5289/7419/5663/9706/25978/50507/581/2521/4708/3710/5714/513/4713/5594/7494/10126/4744/5706/5684/5693/84557/778/5595/8312/80208/7976/10671/4741/10382/6804/1855/10105/5709/5608/4790/4717/4728/11211/1337/1432/9896/1347/1452/7474/3552/10120/374291/27429/9167/11315/515/6390/22926/56171/4709/4702/5533/23435/27019/3709/60673/10376/6310/4694/3553/1340/22863/5605/1350/10975/7277/7979/3092/5682/10452/11047/4294/1327/4695/55860/5894/7326/1742/842/3845/324/5630/1329/5879/4711/5695/11258/89953/7280/5330/10121/7222/4704/4716/6647/6531/5694/5686/6233/5868/4726/54539/4715/5331/7316/4718/291/498/2893/7345/522/7476/27123/2890/8324/116442/3798/2776/7381/9246/776/65018/4720/84134/7484/516/5710/5692/808/118424/4731/5701/1857/2905/4041/824/55255/493869/836/27089/1345/4712/10023/5702/4714/4218/7846/4723/10476/1499/3800/7386/7314/3799/2861/4696/55669/598/596/5621/9451/5707/6712/9973/3265/126328/1649/10540/1139/84617/1351/627/2902/4729/2081/9377/2535/7318/29796/5413/55967/4700/5600/56901/7332/51079/8632/7477/6300/5535/8326/4697/487/4217/196385/4513/4540/4512/4537/4508/6392/1460/1639/4722/1454/7311/4509/2876/440567/539/283106/10381/4701/2904",240
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","131/3554","238/9376",0.550420168067227,1.45209327400065,5.51949312762697,4.18233224062998e-08,1.63110957384569e-06,1.13974668077987e-06,"6224/51121/729/6141/6160/6193/6128/6175/8829/5594/6122/51311/5595/4793/6217/6223/6142/727/6158/6143/4790/6164/6207/7450/1432/6206/1839/6152/6209/6772/6146/3443/5290/6144/6125/6204/3553/9349/718/3661/5648/25873/7187/6155/3572/6210/6885/11224/7097/834/51187/6229/6187/3454/6205/23521/6135/6202/6233/6161/6189/6167/5295/1956/6134/6129/6130/6188/2197/6868/3455/714/1636/3570/6132/6154/6159/3716/200916/6133/115004/6208/6850/6157/6137/3921/3592/3576/2353/6203/5293/6227/719/6201/6169/6124/6138/7189/6181/6232/716/6165/4600/3654/340061/51065/5600/6228/9636/6300/3440/9045/51284/6231/6168/1675/6136/51135/6191/6147/4736/6170/1147/10379/7311/721/6171/6222/6234/6173/6139",131
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","136/3554","250/9376",0.544,1.43515588069781,5.44857431109447,6.023805048129e-08,2.11435557189328e-06,1.47741744864637e-06,"2519/3920/114881/27072/3423/58528/175/1175/51606/84062/55745/5476/8943/79641/8692/55737/8218/10947/26031/23503/7879/27074/114880/23431/28962/9342/162/410/51382/1522/9675/51311/2717/1203/23659/51172/23062/8120/1512/23312/80208/57617/55353/427/1777/79036/1174/20/3988/4669/8649/1075/51296/10312/4891/51699/135112/9896/7942/2030/411/3373/523/28956/64121/1486/533/8673/1211/9559/206358/23163/55317/24141/3425/84286/9296/54982/54832/9885/529/5538/9476/55207/6272/10542/53/967/8763/2799/9550/121260/65082/57707/2588/1213/114876/4864/245973/526/55004/23457/255231/23461/528/10670/11182/219931/7805/1508/119032/164/23339/64223/155066/1657/1212/153129/2517/161/23545/55330/8372/53373/4286/389541/54785/51284/5660/4758/84335/534/8906/64601/9842/91056",136
