"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045055","regulated exocytosis","53/1607","230/18860",0.230434782608696,2.70441817050404,7.93722339012464,1.49509338431348e-11,4.1666233075012e-08,3.37840487539745e-08,"FGR/SCIN/BTK/SPI1/RAB27A/LAT2/RPH3A/STX1B/CBARP/HCK/PIK3CG/DVL1/RAB11FIP2/PPP3CB/SYT10/GNAI2/CSPG5/OTOF/VAMP8/NR4A3/SV2C/ABCC4/NAPB/PRKCG/UNC13A/SNAP25/SYT11/SYT4/UNC13C/SYT2/CPLX2/ADRA2A/KIT/TSPAN18/BRAF/KCNB1/BRSK1/SYK/TRPV6/PRKCB/CD300A/CPLX1/ITGAM/CDK5R2/PIK3CD/RASGRP1/ATP2A2/RPH3AL/CACNB4/SV2B/FCGR3A/LYN/MILR1",53
"GO:0048167","regulation of synaptic plasticity","53/1607","231/18860",0.229437229437229,2.69271073253649,7.90003333612244,1.78263227312382e-11,4.1666233075012e-08,3.37840487539745e-08,"NCDN/CYP46A1/CAMK2B/LZTS1/CAMK2A/ABL1/NFATC4/CHRDL1/CALB1/PPP3CB/NEURL1/EPHA4/CHRNA2/PRKCG/VGF/GFAP/RARA/DLG4/SNAP25/SYT4/LARGE1/UNC13C/ITPKA/CNTN4/CPLX2/YTHDF1/JPH3/NRGN/NPTN/KIT/BRAF/KCNB1/BRSK1/ADCY1/NETO1/NSG1/GSG1L/RGS14/CALB2/NPAS4/HRAS/CHRNA7/MCTP1/SLITRK4/KCNQ3/LYPD6/RELN/MME/ARC/CALM1/SHISA9/SHANK3/GRIN2B",53
"GO:0006887","exocytosis","72/1607","370/18860",0.194594594594595,2.28379219293967,7.61135703233204,2.16710643594029e-11,4.1666233075012e-08,3.37840487539745e-08,"FGR/SCIN/BTK/RAB27B/ATP9A/SPI1/RAB27A/NSF/TSG101/LAT2/RPH3A/STX1B/CBARP/HCK/PIK3CG/YKT6/DVL1/RAB11FIP2/PPP3CB/SYT10/GNAI2/CSPG5/OTOF/VAMP8/NR4A3/SNX19/SV2C/ABCC4/NAPB/PRKCG/UNC13A/SNAP25/SYT11/SYT4/MYH10/ANXA1/UNC13C/RAB13/SYT2/STXBP5L/CPLX2/ADRA2A/RAB3C/KIT/TSPAN18/BRAF/KCNB1/BRSK1/WDR41/SYK/TRPV6/PRKCB/CD300A/STXBP6/CPLX1/RAB3B/ITGAM/CDK5R2/PIK3CD/RASGRP1/HAP1/ATP2A2/BRSK2/RPH3AL/CACNB4/ANXA2/KCNQ3/SV2B/FCGR3A/LYN/MILR1/SRCIN1",72
"GO:0042391","regulation of membrane potential","84/1607","474/18860",0.177215189873418,2.07982481705828,7.26664267213289,7.42133514205067e-11,1.07015652748371e-07,8.67710316740293e-08,"GABRA1/NEDD4L/KCNH2/WDR1/KCNQ2/DLG1/CHRNA3/KCNK2/NOS1/KCNH4/DSP/ABL1/KCNK6/STX1B/HCN2/CACNA1I/DVL1/GABRA4/ASIC1/KCNA1/SLC29A1/GABRG2/SLC4A3/TACR1/RGS4/GRIA2/CHRNA2/ATXN1/DLG4/MTNR1B/DSC2/KCNH3/SCN2A/SCN7A/SLC24A4/COL6A1/GLRA3/GABRB2/GPD1L/SLC25A27/GNA14/KCNMA1/KCNB1/SLMAP/KCNV1/CACNB2/GABRB3/NETO1/B2M/NTSR2/ATP2A2/NPAS4/CHRNA7/KCNE3/UCP2/KCNE5/SCN4B/KCNA2/CACNB4/RGS7/SLC8A1/BEGAIN/CTNNA3/KCTD16/KCNH8/KCNQ3/KCNH7/GPRIN3/KCNQ5/RGS7BP/GABRD/FZD9/RELN/CACNA1H/SCN8A/BCO2/RYR2/CALM1/INSYN1/MLLT11/TNF/CHCHD10/SHANK3/GRIN2B",84
"GO:0007611","learning or memory","59/1607","284/18860",0.207746478873239,2.43814473649614,7.45281983059164,9.67406358504342e-11,1.11599997517061e-07,9.04881358070483e-08,"PRKAR2B/PAFAH1B1/CIC/KCNK2/DDHD2/ABL1/NFATC4/CALB1/NPTX2/PPP3CB/PPP1R9B/MDK/ASIC1/GLP1R/TACR1/ATP8A1/ATXN1/PRKCG/TMOD2/LDLR/C1QL1/PPP1R1B/DLG4/SNAP25/SYT11/SYT4/LARGE1/SCN2A/YTHDF1/CAMK4/JPH3/NRGN/KIT/BRAF/BTG2/BRSK1/ITGA5/ELAVL4/CAMK2N1/ADCY1/GABRB3/NETO1/B2M/RGS14/KCNAB1/FOS/NPAS4/CHRNA7/SLITRK4/SLC2A4/PLCB1/KCTD16/FZD9/RELN/MME/ARC/FOXO6/SHANK3/GRIN2B",59
"GO:0050890","cognition","65/1607","333/18860",0.195195195195195,2.29084093427591,7.25315991076483,1.79135992957642e-10,1.72209401229947e-07,1.39631792405404e-07,"PRKAR2B/PAFAH1B1/CIC/KCNK2/DDHD2/ABL1/NFATC4/CALB1/NPTX2/PPP3CB/PPP1R9B/ST3GAL4/MDK/ASIC1/GLP1R/TACR1/ATP8A1/ATXN1/PRKCG/TMOD2/LDLR/C1QL1/PPP1R1B/DLG4/SNAP25/SYT11/SYT4/LARGE1/SCN2A/YTHDF1/GPR158/CAMK4/JPH3/NRGN/KIT/BRAF/BTG2/BRSK1/ITGA5/ELAVL4/CAMK2N1/ADCY1/GABRB3/NETO1/B2M/RGS14/KCNAB1/FOS/NPAS4/CHRNA7/SLITRK4/SLC2A4/PLCB1/KCTD16/FZD9/RELN/MME/C5AR1/ARC/FOXO6/HLA-DRA/TNF/SHANK3/GRIN2B/CYFIP1",65
"GO:0050803","regulation of synapse structure or activity","63/1607","329/18860",0.191489361702128,2.24734870049915,6.96580571619157,7.678459098094e-10,6.00808930899331e-07,4.87151266513199e-07,"ARHGAP33/PAFAH1B1/CDKL5/NEDD4L/CAMK2B/LZTS1/NGEF/CTTNBP2/PAK3/FGFR1/ABL1/STX1B/ZDHHC8/NFATC4/SRPX2/ICAM5/DVL1/NEURL1/PPP1R9B/ASIC1/RTN4/EPHA4/PLPPR4/NRP2/ADGRB2/SLITRK3/DOCK4/ABHD17A/C1QL1/LRRC4B/EPHA7/PCDH8/ITPKA/ABI2/OGT/CDH8/GPM6A/GPR158/HOMER1/EPHB1/CACNA2D3/AGAP1/SLITRK5/CASKIN1/EFNA1/FRMPD4/ZNF804A/LRRN1/SLITRK4/SLITRK6/ROBO2/SEMA4D/RELN/IL1RAPL2/TUBB/ARC/TNF/ETV5/SHANK3/GRIN2B/CYFIP1/SRCIN1/NEFL",63
"GO:0050807","regulation of synapse organization","62/1607","322/18860",0.192546583850932,2.25975642279314,6.95853851987562,8.33299488071194e-10,6.00808930899331e-07,4.87151266513199e-07,"ARHGAP33/PAFAH1B1/CDKL5/NEDD4L/CAMK2B/LZTS1/NGEF/CTTNBP2/PAK3/FGFR1/ABL1/ZDHHC8/NFATC4/SRPX2/ICAM5/DVL1/NEURL1/PPP1R9B/ASIC1/RTN4/EPHA4/PLPPR4/NRP2/ADGRB2/SLITRK3/DOCK4/ABHD17A/C1QL1/LRRC4B/EPHA7/PCDH8/ITPKA/ABI2/OGT/CDH8/GPM6A/GPR158/HOMER1/EPHB1/CACNA2D3/AGAP1/SLITRK5/CASKIN1/EFNA1/FRMPD4/ZNF804A/LRRN1/SLITRK4/SLITRK6/ROBO2/SEMA4D/RELN/IL1RAPL2/TUBB/ARC/TNF/ETV5/SHANK3/GRIN2B/CYFIP1/SRCIN1/NEFL",62
"GO:0007613","memory","34/1607","131/18860",0.259541984732824,3.04602478659681,7.1717344619315,2.57639765647627e-09,1.65118463139502e-06,1.33882278218995e-06,"CIC/KCNK2/NFATC4/CALB1/PPP3CB/MDK/ASIC1/TACR1/ATXN1/LDLR/SYT11/SYT4/LARGE1/SCN2A/YTHDF1/CAMK4/JPH3/ITGA5/CAMK2N1/ADCY1/GABRB3/NETO1/RGS14/FOS/NPAS4/CHRNA7/SLITRK4/SLC2A4/PLCB1/KCTD16/RELN/ARC/FOXO6/SHANK3",34
"GO:0099173","postsynapse organization","50/1607","245/18860",0.204081632653061,2.39513353567936,6.70814215935657,4.83796729611313e-09,2.79053953639805e-06,2.2626409154348e-06,"ARHGAP33/PAFAH1B1/CDKL5/CAMK2B/LZTS1/NGEF/DLG1/PAK3/FGFR1/ABL1/NRP1/ZDHHC8/CHRDL1/DVL1/NEURL1/PPP1R9B/ASIC1/RTN4/EPHA4/PLPPR4/NRP2/SLITRK3/DOCK4/ABHD17A/LRRC4B/DLG4/MYH10/EPHA7/ITPKA/ZNF365/ABI2/INA/HOMER1/EPHB1/CASKIN1/EFNA1/ZNF804A/SPTBN2/CHRNA7/FZD9/RELN/ARC/INSYN1/ETV5/SHANK3/ITGB3/FRRS1L/GRIN2B/SRCIN1/NEFL",50
