"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","59/877","238/9376",0.247899159663866,2.65028793729579,8.2836958977607,1.24355668613012e-12,4.21565716598112e-10,2.40857294997835e-10,"5291/6141/7132/6160/6128/6175/8829/6164/730/6152/6144/2162/9349/718/5582/5648/6155/6210/11224/6194/6229/6205/6135/6189/5295/6129/3570/6132/6154/200916/6133/6850/1536/5579/6774/2353/5293/6227/719/6201/5970/713/3725/6232/6218/6165/51065/9636/9045/728/6191/4736/6170/6235/721/6171/6222/7124/6139",59
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","35/877","115/9376",0.304347826086957,3.25378017946557,7.81147511499357,1.32324642654811e-10,2.24290269299905e-08,1.2814596972887e-08,"5291/816/10681/1103/815/3785/2782/1136/43/5294/2771/60482/10000/113/5582/23533/5295/3708/814/2776/90993/107/5579/3761/2353/5293/111/3265/1139/2788/1129/23236/3786/1133/56479",35
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","24/877","78/9376",0.307692307692308,3.28953600561354,6.52231137820605,8.54676287741462e-08,9.65784205147853e-06,5.51791006822558e-06,"3459/1535/4689/1917/5777/7043/718/2209/2215/1536/5579/3684/2353/5970/65108/3725/3119/3117/1378/2214/3111/3122/3113/7124",24
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","57/877","300/9376",0.19,2.03128848346636,5.83169862343598,1.2690371945892e-07,1.07550902241435e-05,6.14481167906351e-06,"10368/4293/3479/5606/2324/7132/10235/4791/2260/26281/51701/285/2872/8911/6789/3315/5532/5159/3554/1647/10000/5228/7043/1843/1846/9479/3164/5582/3727/4294/2064/9064/5778/3815/55799/673/9261/7048/5979/783/5579/1942/2353/10125/5970/3310/3265/6197/3725/785/1435/1850/8912/3304/3303/5534/7124",57
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","36/877","154/9376",0.233766233766234,2.49919293932977,6.02569090026321,1.63575390786482e-07,1.10605308771414e-05,6.31932209717133e-06,"3683/3479/7414/2324/999/1298/5291/3385/5829/3383/3655/1299/3384/595/3910/5159/10000/6696/5228/718/1284/3679/2064/1291/8515/5295/83706/3678/255743/3684/5293/1282/1287/5649/3908/3690",36
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","34/877","142/9376",0.23943661971831,2.55981499028378,6.01622191166539,1.95761608444981e-07,1.10605308771414e-05,6.31932209717133e-06,"695/3459/3937/5291/1535/6688/7132/4791/1540/29760/4689/5532/3554/10000/2354/3727/5295/2209/3708/814/2215/7048/6850/2353/3726/5293/5970/488/3725/1435/2214/5534/7124/3690",34
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","19/877","56/9376",0.339285714285714,3.62730086333279,6.33428188356852,3.46214966945286e-07,1.67666962563503e-05,9.57948179217032e-06,"4791/58484/1917/29108/317/718/3606/3684/54205/5970/3310/3297/7100/1378/3304/3303/7124/4671/1937",19
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","42/877","203/9376",0.206896551724138,2.21192938308497,5.60752421255433,5.75876130440872e-07,2.3827648496511e-05,1.36136852145878e-05,"3479/7414/2324/1298/5291/5063/5829/3655/1299/858/8395/595/3910/5159/10000/6696/5228/7408/5582/10298/9475/1284/3679/2064/1291/8515/5295/53358/673/7791/7410/6464/3678/5579/5293/3265/3725/1282/1287/5649/3908/3690",42
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","55/877","299/9376",0.183946488294314,1.96657043813853,5.45631525603973,6.32592437960468e-07,2.3827648496511e-05,1.36136852145878e-05,"3683/7414/999/3937/5291/3785/3385/5063/2260/5829/3383/10580/25/8829/3384/3736/5777/90249/10000/8828/22865/5582/5819/10298/94030/4628/57180/347733/5295/64221/50848/7410/3678/5584/26050/79827/5579/84790/57524/3684/5293/6712/253559/84617/3737/139065/3786/84189/6092/10383/26280/203068/6334/4067/3690",55
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","32/877","140/9376",0.228571428571429,2.44365531845577,5.52824257288561,1.34802766623298e-06,4.55908850448196e-05,2.60478896079702e-05,"999/10681/4854/5289/2782/4842/5294/51422/595/2771/10000/6696/1958/113/8678/187/6194/23533/3708/814/2776/4634/5563/107/111/3265/2788/23236/6546/6262/801/643246",32
