"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","leukocyte cell-cell adhesion","81/1341","439/18860",0.184510250569476,2.59497638011955,9.35511170815333,1.32396235217935e-15,7.48568313922204e-12,5.56203552373451e-12,"ITGAL/CD4/CD74/KITLG/CBFB/STK10/IL4R/ICAM1/XBP1/LILRB1/RASAL3/JAK3/DOCK8/VSIR/SMARCD2/CCL2/EFNB3/MDK/CD69/SELPLG/CD83/BCL6/CD86/HES1/IL1A/LOXL3/CD160/TNFSF4/NR4A3/CD274/NCKAP1L/SOX4/IRF1/STAT5A/PLA2G5/FGL2/FOXJ1/LGALS3/HAVCR2/KLF4/LRRC32/S100A8/MSN/JAM2/TNFRSF14/F11R/TNFRSF13C/ITGA5/VCAM1/NLRP3/S100A9/DAPL1/SYK/NFKBID/PRDX2/CCDC88B/CX3CR1/IL12A/CEBPB/RASGRP1/RELA/OLR1/HLA-DQB1/KLHL25/LILRB4/HLA-DQA1/PDCD1LG2/CARD11/NRARP/HLA-DRB5/HLA-DOA/HLA-DMA/HLA-DRA/AGER/HLA-E/CD177/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DMB/PECAM1",81
"GO:0006935","chemotaxis","83/1341","474/18860",0.175105485232068,2.46270652608262,8.92322419824471,1.29579384970655e-14,3.11878987349182e-11,2.3173329333878e-11,"SEMA3F/MYCBP2/SEMA3G/CD74/PIK3CB/NTN1/SEMA3C/EDN1/GSTP1/MMP2/TREM2/HSD3B7/PDGFB/RIN3/PLP2/RPS19/HSPB1/SERPINE1/RARRES2/ENG/CCL2/MDK/BIN2/NEDD9/PERP/SEMA5A/THBS4/F3/PGF/DUSP1/PTK2B/CXCR4/NCKAP1L/NR4A1/LGALS3/LGR6/DOCK2/PDGFRA/EDNRB/TBR1/THBS1/CH25H/FGF2/CMTM3/CDH13/EPHA2/CCN1/RAB13/S100A8/AGTR1/SLIT2/YTHDF1/VEGFC/PTPRO/ROBO3/EPHB1/JAML/CCR5/VCAM1/S100A9/CXCL1/PRKCD/HMGB2/SYK/CX3CR1/GDNF/IL12A/P2RY12/PTAFR/CXCL8/GPR183/SEMA3E/C3AR1/SCG2/VEGFB/FOSL1/CSF1R/SEMA4B/L1CAM/AGER/ZNF580/ITGB3/CCL4",83
"GO:0042330","taxis","83/1341","476/18860",0.17436974789916,2.45235901967051,8.87925482088606,1.65482306693942e-14,3.11878987349182e-11,2.3173329333878e-11,"SEMA3F/MYCBP2/SEMA3G/CD74/PIK3CB/NTN1/SEMA3C/EDN1/GSTP1/MMP2/TREM2/HSD3B7/PDGFB/RIN3/PLP2/RPS19/HSPB1/SERPINE1/RARRES2/ENG/CCL2/MDK/BIN2/NEDD9/PERP/SEMA5A/THBS4/F3/PGF/DUSP1/PTK2B/CXCR4/NCKAP1L/NR4A1/LGALS3/LGR6/DOCK2/PDGFRA/EDNRB/TBR1/THBS1/CH25H/FGF2/CMTM3/CDH13/EPHA2/CCN1/RAB13/S100A8/AGTR1/SLIT2/YTHDF1/VEGFC/PTPRO/ROBO3/EPHB1/JAML/CCR5/VCAM1/S100A9/CXCL1/PRKCD/HMGB2/SYK/CX3CR1/GDNF/IL12A/P2RY12/PTAFR/CXCL8/GPR183/SEMA3E/C3AR1/SCG2/VEGFB/FOSL1/CSF1R/SEMA4B/L1CAM/AGER/ZNF580/ITGB3/CCL4",83
"GO:0050867","positive regulation of cell activation","73/1341","401/18860",0.182044887780549,2.5603031942887,8.73768053048345,7.09224213759886e-14,1.0024884261496e-10,7.4487206239887e-11,"TAC1/CD4/TYROBP/CD74/KITLG/CBFB/IL4R/CD200/TREM2/XBP1/LILRB1/RASAL3/DOCK8/VSIR/SMARCD2/CCL2/EFNB3/MDK/CD83/BCL6/CD86/HES1/IL1A/TACR1/PLEK/PLA2G4A/CD160/TNFSF4/NR4A3/CD274/NCKAP1L/CDKN1A/SOX4/STAT5A/NECTIN2/JUND/HAVCR2/THBS1/MMP14/TNFRSF14/TNFRSF13C/VCAM1/NLRP3/SYK/SVEP1/NFKBID/CCDC88B/IL12A/TNIP2/INPP5D/GPR183/CLEC7A/RASGRP1/ATAD5/HLA-DQB1/KLHL25/LILRB4/PEAR1/HLA-DQA1/FLNA/PDCD1LG2/CARD11/HLA-DRB5/HLA-DOA/HLA-DMA/HLA-DRA/AGER/HLA-E/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DMB/CEBPA",73
"GO:0002696","positive regulation of leukocyte activation","69/1341","381/18860",0.181102362204724,2.54704739088822,8.44006780576311,4.49891347111822e-13,5.08737135314048e-10,3.78003445541743e-10,"TAC1/CD4/TYROBP/CD74/KITLG/CBFB/IL4R/CD200/TREM2/XBP1/LILRB1/RASAL3/DOCK8/VSIR/SMARCD2/CCL2/EFNB3/MDK/CD83/BCL6/CD86/HES1/IL1A/TACR1/PLA2G4A/CD160/TNFSF4/NR4A3/CD274/NCKAP1L/CDKN1A/SOX4/STAT5A/NECTIN2/JUND/HAVCR2/THBS1/MMP14/TNFRSF14/TNFRSF13C/VCAM1/NLRP3/SYK/NFKBID/CCDC88B/IL12A/TNIP2/INPP5D/GPR183/CLEC7A/RASGRP1/ATAD5/HLA-DQB1/KLHL25/LILRB4/HLA-DQA1/PDCD1LG2/CARD11/HLA-DRB5/HLA-DOA/HLA-DMA/HLA-DRA/AGER/HLA-E/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DMB/CEBPA",69
"GO:0050900","leukocyte migration","70/1341","397/18860",0.17632241813602,2.47982163016058,8.24465623819388,1.14658155931869e-12,1.08046202273131e-09,8.02808246182614e-10,"ITGAL/CD74/KITLG/CNN2/STK10/EDN1/B4GALT1/MMP2/ICAM1/CD200/TREM2/HSD3B7/HMOX1/PDGFB/RIN3/SMPD3/RPS19/SERPINE1/RARRES2/DOCK8/CCL2/MDK/CD69/SELPLG/NEDD9/PERP/THBS4/TACR1/IL1R1/PGF/DUSP1/PTK2B/CXCR4/NCKAP1L/FOXJ1/LGALS3/EDNRB/MYO1G/THBS1/CH25H/S100A8/SLIT2/MSN/VEGFC/PTPRO/JAM2/MMP14/TNFRSF14/F11R/JAML/CCR5/VCAM1/S100A9/SYK/CX3CR1/IL12A/P2RY12/CXCL8/GPR183/PTGER4/C3AR1/SCG2/VEGFB/CSF1R/AGER/CD177/ZNF580/ITGB3/PECAM1/CCL4",70
"GO:0032102","negative regulation of response to external stimulus","76/1341","452/18860",0.168141592920354,2.36476543063227,8.12536709011252,1.46596226799636e-12,1.18407866617877e-09,8.79797806251648e-10,"FGR/SEMA3F/TNFRSF1B/TNFRSF1A/VPS35/FAP/EDN1/GSTP1/CD200/TREM2/PDGFB/RIN3/WFDC1/FOXF1/LILRB1/RPS19/SERPINE1/GIT1/CCL2/DHX58/IL10RA/MDK/OAS3/MDGA1/SEMA5A/FNDC4/DUSP1/TEK/NPY/FGL2/LDLR/NECTIN2/PDGFRA/HAVCR2/AOAH/KLF4/PIM1/IER3/THBS1/FGF2/MMRN1/NLRC5/SLIT2/MFHAS1/SERPING1/PTPRO/CD96/UBASH3B/ROBO3/NLRP3/PRKCD/SYK/PRDX2/INPP5D/STAT2/PTGER4/PARP14/C1QTNF1/SFN/A2M/THBD/CDH5/ANXA2/SOCS3/USP18/SIGIRR/YTHDF3/ISG15/TRAF3IP1/ZDHHC18/MICA/HLA-E/HLA-F/HLA-A/HLA-B/PYDC2",76
"GO:0002697","regulation of immune effector process","71/1341","421/18860",0.168646080760095,2.37186061382207,7.87592217927788,7.01490441156414e-12,4.75945821741143e-09,3.53638741937501e-09,"FGR/CFH/TYROBP/CD74/TNFRSF1B/CD84/IL4R/ICAM1/TREM2/XBP1/HTR2A/FOXF1/SLC7A5/LILRB1/RPS19/JAK3/NOD1/DHX58/CD69/BCL6/CD86/LOXL3/IL1R1/CD160/TNFSF4/NR4A3/TGFB3/CD274/NCKAP1L/STAT5A/TRAF2/PLA2G5/FGL2/FOXJ1/NECTIN2/BST2/LGALS3/RSAD2/HAVCR2/SERPING1/CD96/TNFRSF14/AZGP1/NLRP3/MAPKAPK2/S100A9/TLR3/SYK/NFKBID/CX3CR1/IL12A/INPP5D/ITGAM/JUNB/CLEC7A/RASGRP1/A2M/ATAD5/LILRB4/PLCG2/HLA-DRA/AGER/MICA/HLA-C/HLA-E/HLA-F/CD177/HLA-H/HLA-A/HLA-B/HLA-DMB",71
"GO:0019882","antigen processing and presentation","33/1341","120/18860",0.275,3.86763609246831,8.71864371008519,7.57607427603517e-12,4.75945821741143e-09,3.53638741937501e-09,"SLC11A1/CD74/ICAM1/TREM2/CTSH/RELB/NOD1/RAB34/RAB5B/FGL2/THBS1/YTHDF1/AZGP1/CTSS/TAP1/RAB3B/HLA-DQB1/HLA-DQA1/MPEG1/HLA-DRB5/HLA-DOA/HLA-DMA/HLA-DRA/HLA-C/HLA-E/HLA-F/HLA-H/HLA-A/HLA-DPB1/HLA-DPA1/TAPBP/HLA-B/HLA-DMB",33
"GO:0046631","alpha-beta T cell activation","45/1341","206/18860",0.218446601941748,3.07226167980713,8.27391934343377,8.73691863935035e-12,4.93985379868869e-09,3.67042550417339e-09,"PRDM1/CBFB/BCL3/IL4R/RELB/LILRB1/RASAL3/NKG7/JAK3/VSIR/CD69/CLEC2B/CD83/BCL6/CD86/FOXP1/LOXL3/CD160/TNFSF4/CD274/NCKAP1L/IRF1/STAT5A/LGALS3/RSAD2/DOCK2/STAT4/TNFRSF14/NLRP3/DAPL1/SYK/NFKBID/IL12A/GPR183/JUNB/PTGER4/CEBPB/KLHL25/SOCS3/LILRB4/CARD11/HLA-DRA/AGER/HLA-E/HLA-A",45
