"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","34/743","101/9376",0.336633663366337,4.24801780312621,9.62767238365205,9.32029433851315e-14,3.1875406637715e-11,2.14857311593093e-11,"5291/1906/4313/3383/5332/5054/5599/6347/595/3552/6772/84812/2152/7043/1958/6776/3845/1284/5292/5330/185/5331/7424/7412/5580/3576/5581/5970/7423/7056/5600/1282/5336/177",34
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","45/743","180/9376",0.25,3.15477792732167,8.56324686113802,1.69839221141966e-12,2.90425068152762e-10,1.95762049632055e-10,"972/5291/7132/29992/4792/56829/6347/4940/4939/6772/29990/7186/5819/684/7097/5371/8764/3678/7098/6850/6890/3592/6773/5970/3119/9021/340061/3665/1978/3117/3127/3111/3108/3122/3107/3133/3134/3105/10379/3115/3113/6892/3106/3109/3690",45
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","48/743","205/9376",0.234146341463415,2.95471883924761,8.30141369338591,4.02961350019383e-12,4.59375939022097e-10,3.09643984751736e-10,"3683/5606/5291/4791/3383/29760/4792/5971/3718/5599/595/4940/4939/896/3280/6772/1647/1017/1026/7186/10912/7097/953/4794/6850/6890/6773/5970/3119/5600/3665/9636/3117/5336/3127/3111/3108/3122/3107/3133/3134/3105/10379/3115/3113/6892/3106/3109",48
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","59/743","300/9376",0.196666666666667,2.48175863615971,7.65226542555512,3.34507646742109e-11,2.86004037964503e-09,1.92782038517163e-09,"8913/9254/5606/4254/5923/4804/7132/4775/4791/4214/2872/5155/9252/6788/5971/3315/5599/8649/3552/3554/5321/1647/5228/7043/1843/7010/1846/3164/6237/5605/7186/10912/3727/3845/5156/1847/2247/1848/1969/9064/7424/781/8822/9261/2668/1942/2353/929/10125/5970/4296/7423/627/1436/5600/8912/2316/777/4914",59
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","48/743","224/9376",0.214285714285714,2.70409536627572,7.57284510050231,1.14773739393319e-10,7.85052377450301e-09,5.29167345834459e-09,"3683/920/5291/7132/4775/4791/3383/4214/4792/5971/3718/5599/595/4055/896/3554/7043/1958/113/1959/1031/1017/1026/6776/5605/7538/3845/148327/115650/200186/4487/2353/5970/8061/3119/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109",48
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","19/743","44/9376",0.431818181818182,5.4491618744647,8.67793424092713,2.03533015549881e-10,1.16013818863432e-08,7.81995270270595e-09,"942/3552/2571/3592/3119/5551/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109",19
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","38/743","160/9376",0.2375,2.99703903095559,7.47436816174403,4.75186675085679e-10,2.32162632684718e-08,1.56490047885359e-08,"3683/920/1001/3383/64115/3384/6404/942/29126/5819/90952/58494/50848/120425/7412/26050/3684/214/3119/1003/7122/84189/3117/80380/3127/3897/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109/5175",38
"Human Diseases","Immune disease","hsa05330","Allograft rejection","17/743","39/9376",0.435897435897436,5.50063843738137,8.26231833434429,1.55156262832837e-09,6.5396829628644e-08,4.40809654929918e-08,"942/3592/3119/5551/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109",17
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","42/743","196/9376",0.214285714285714,2.70409536627572,7.07293660059909,1.72096920075379e-09,6.5396829628644e-08,4.40809654929918e-08,"5291/7132/4775/5743/3383/3710/5155/4792/5599/595/9976/2784/942/59345/6772/1026/5605/7186/2791/7538/3845/2247/1234/9261/2919/7098/6850/2786/3576/2353/6773/5970/5600/3665/5336/100507436/3107/3133/3134/3105/10379/3106",42
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","26/743","93/9376",0.279569892473118,3.52792370367154,7.18721167730236,7.26683890281071e-09,2.48525890476126e-07,1.67519759970057e-07,"920/4775/3566/4792/182/3718/5599/6772/6776/6775/4794/3592/2353/5970/4094/3119/5600/3117/55534/3127/3111/3108/3122/3115/3113/3109",26
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","33/743","142/9376",0.232394366197183,2.93261046765113,6.80757977270616,1.19791394895756e-08,3.72442336857715e-07,2.51046081169097e-07,"799/7305/5291/7132/4791/29760/54209/3710/4792/5971/10859/5599/3552/6772/3554/2354/7186/3727/4982/6850/2353/6773/3726/5970/8061/1436/9021/5600/11006/5336/10379/23547/3690",33
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","17/743","45/9376",0.377777777777778,4.76721997906385,7.43125762320369,2.12918370282693e-08,6.06817355305675e-07,4.09027395543068e-07,"942/3552/3119/5551/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109",17
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","29/743","119/9376",0.243697478991597,3.0752457106665,6.68354764486577,3.00737935824958e-08,7.9117210809335e-07,5.33292372029682e-07,"64285/7133/5606/5291/7132/602/5743/1906/3383/9252/4792/182/5599/6347/3659/7186/148327/7424/4323/7412/2919/840/197259/2353/3726/1051/5970/9021/5600",29
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","43/743","227/9376",0.18942731277533,2.39040442070188,6.22108921288102,5.33895540772939e-08,1.30423053531675e-06,8.7912122879153e-07,"5291/7132/4775/5743/5829/3710/4792/5332/6347/595/3587/2784/59345/3554/2185/113/7852/1026/5605/7186/2791/3845/5156/5330/148327/5331/1234/2786/6890/3576/5734/5970/340061/5600/1978/3107/3133/3134/3105/6892/3106/3690/6351",43
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","32/743","154/9376",0.207792207792208,2.62215308244918,5.95441105424731,3.21122983161253e-07,7.32160401607657e-06,4.93515321489926e-06,"3683/5291/55679/10979/5829/3383/5155/3384/595/7450/1297/896/3910/7060/5228/3911/5156/1284/7057/3687/1291/1292/7424/3678/7412/3684/3913/7423/1282/5649/2316/3690",32
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","25/743","105/9376",0.238095238095238,3.00455040697302,6.05964964846878,4.35282305707326e-07,8.78150523858596e-06,5.91920482379294e-06,"5291/602/4775/5743/4791/3710/4792/5971/5599/6772/1959/3659/6237/3845/114548/9261/5580/6850/3592/6773/64581/5970/5600/5336/10379",25
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","26/743","112/9376",0.232142857142857,2.92943664679869,6.02614303574251,4.36507570339068e-07,8.78150523858596e-06,5.91920482379294e-06,"5606/7132/4792/5599/3587/3910/6772/7043/3949/3911/7097/1234/3592/3913/5970/3119/4261/5600/3117/3127/3111/3108/3122/3115/3113/3109",26
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","34/743","173/9376",0.196531791907514,2.48005663650721,5.76415764355959,5.5197284062939e-07,1.04874839719584e-05,7.06912585367464e-06,"5291/7132/3383/4792/6347/4940/4939/896/3552/6772/7706/5605/91543/5371/4599/114548/7098/3592/3576/6773/5970/3119/4261/9021/3665/3117/3127/3111/3108/3122/10379/3115/3113/3109",34
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","31/743","155/9376",0.2,2.52382234185734,5.61190550310589,1.17678449532522e-06,2.11821209158539e-05,1.42778839044999e-05,"9902/8685/5869/7060/7097/7057/715/3678/1520/84790/6890/3684/929/64581/4973/84617/3119/3117/3127/3111/3108/3122/3107/3133/3134/3105/3115/3113/3106/3109/3690",31
