"disorder1","disorder2","overlap","odds_ratio","log10_p","p_value","FDR"
"OCD","ASD",318,8.99199439508389,163.412831207417,3.86517171352305e-164,1.0146075747998e-163
"OCD","ADHD",157,4.49064520944413,47.1640870503984,6.85350840310865e-48,1.0280262604663e-47
"OCD","SZ",306,10.3466340976273,172.54633035712,2.84229821864569e-173,8.52689465593706e-173
"OCD","MDD",918,5.6389763547104,266.39608768671,4.01709695018388e-267,1.40598393256436e-266
"OCD","BD",336,5.81634619235537,122.751961926315,1.77026414685516e-123,4.13061634266204e-123
"OCD","AD",0,0,4.44135493427648,3.61947070337374e-05,4.00046761951835e-05
"ASD","ADHD",171,4.43898679360327,50.4654441160618,3.4241744622056e-51,5.53135874663982e-51
"ASD","SZ",239,6.60107318083415,99.6147096364002,2.42823303727338e-100,4.63571761661282e-100
"ASD","MDD",1043,5.98381703254845,316.136744087683,7.29887476972392e-317,5.10921233880675e-316
"ASD","BD",325,4.91830210612957,101.969980650733,1.07156704605797e-102,2.25029079672173e-102
"ASD","AD",0,0,4.94221859364569,1.14230323404537e-05,1.33268710638627e-05
"ADHD","SZ",150,4.53801787926371,45.688346998729,2.04952396689295e-46,2.86933355365012e-46
"ADHD","MDD",891,6.12407870704955,275.891986705094,1.28236983879778e-276,5.38595332295069e-276
"ADHD","BD",234,3.99999713387272,60.059409844165,8.7214793297784e-61,1.52625888271122e-60
"ADHD","AD",0,0,4.1041827863362,7.86714606702168e-05,7.86714606702168e-05
"SZ","MDD",928,6.47786805662192,299.23181926225,5.86382144909526e-300,3.07850626077501e-299
"SZ","BD",653,17.3713835365709,1e+300,0,0
"SZ","AD",0,0,4.29977157897556,5.01450906820753e-05,5.26523452161791e-05
"MDD","BD",1577,5.96554390074502,1e+300,0,0
"MDD","AD",0,0,33.4098467394171,3.89182461516054e-34,5.10801980739821e-34
"BD","AD",0,0,8.05684498678338,8.77313905902066e-09,1.08374070729079e-08
