"gene","degree","weighted_degree"
"ENSG00000100292",5008,11485
"ENSG00000160691",5008,11485
"ENSG00000168884",5008,11485
"ENSG00000130589",5008,10369
"ENSG00000133321",5008,10369
"ENSG00000151929",5008,10369
"ENSG00000170345",5008,10369
"ENSG00000067082",5008,10164
"ENSG00000145248",5008,10164
"ENSG00000019582",5008,10049
"ENSG00000106100",5008,10049
"ENSG00000117650",5008,10049
"ENSG00000120738",5008,10049
"ENSG00000120875",5008,10049
"ENSG00000136826",5008,10049
"ENSG00000169902",5008,10049
"ENSG00000169908",5008,10049
"ENSG00000186204",5008,10049
"ENSG00000197956",5008,10049
"ENSG00000198467",5008,10049
"ENSG00000090924",5008,9354
"ENSG00000076003",4972,9048
"ENSG00000080573",4972,9048
"ENSG00000081320",4972,9048
"ENSG00000085563",4972,9048
"ENSG00000095970",4972,9048
"ENSG00000099377",4972,9048
"ENSG00000101335",4972,9048
"ENSG00000112096",4972,9048
"ENSG00000112149",4972,9048
"ENSG00000116096",4972,9048
"ENSG00000122884",4972,9048
"ENSG00000125841",4972,9048
"ENSG00000126709",4972,9048
"ENSG00000130222",4972,9048
"ENSG00000131791",4972,9048
"ENSG00000132744",4972,9048
"ENSG00000138741",4972,9048
"ENSG00000140464",4972,9048
"ENSG00000142178",4972,9048
"ENSG00000157617",4972,9048
"ENSG00000163827",4972,9048
"ENSG00000163900",4972,9048
"ENSG00000164292",4972,9048
"ENSG00000168394",4972,9048
"ENSG00000173221",4972,9048
"ENSG00000173227",4972,9048
"ENSG00000173281",4972,9048
"ENSG00000177875",4972,9048
"ENSG00000182240",4972,9048
"ENSG00000182326",4972,9048
"ENSG00000187664",4972,9048
"ENSG00000187840",4972,9048
"ENSG00000213144",4972,9048
"ENSG00000213719",4972,9048
"ENSG00000228013",4972,9048
"ENSG00000234745",4972,9048
"ENSG00000247400",4972,9048
"ENSG00000072682",4983,8972
"ENSG00000085063",4983,8972
"ENSG00000089169",4983,8972
"ENSG00000092758",4983,8972
"ENSG00000123643",4983,8972
"ENSG00000138193",4983,8972
"ENSG00000143858",4983,8972
"ENSG00000159674",4983,8972
"ENSG00000166444",4983,8972
"ENSG00000169507",4983,8972
"ENSG00000174640",4983,8972
"ENSG00000182901",4983,8972
"ENSG00000185477",4983,8972
"ENSG00000196954",4983,8972
"ENSG00000205279",4983,8972
"ENSG00000005844",4958,8933
"ENSG00000009950",4958,8933
"ENSG00000086544",4958,8933
"ENSG00000095585",4958,8933
"ENSG00000100376",4958,8933
"ENSG00000105639",4958,8933
"ENSG00000109113",4958,8933
"ENSG00000110848",4958,8933
"ENSG00000112769",4958,8933
"ENSG00000115165",4958,8933
"ENSG00000115665",4958,8933
"ENSG00000116783",4958,8933
"ENSG00000119508",4958,8933
"ENSG00000120129",4958,8933
"ENSG00000121281",4958,8933
"ENSG00000122012",4958,8933
"ENSG00000123358",4958,8933
"ENSG00000142733",4958,8933
"ENSG00000142871",4958,8933
"ENSG00000144681",4958,8933
"ENSG00000145623",4958,8933
"ENSG00000151470",4958,8933
"ENSG00000151693",4958,8933
"ENSG00000153714",4958,8933
"ENSG00000154451",4958,8933
"ENSG00000154928",4958,8933
"ENSG00000156049",4958,8933
"ENSG00000160791",4958,8933
"ENSG00000161835",4958,8933
"ENSG00000165025",4958,8933
"ENSG00000169508",4958,8933
"ENSG00000171223",4958,8933
"ENSG00000172716",4958,8933
"ENSG00000175906",4958,8933
"ENSG00000176014",4958,8933
"ENSG00000177464",4958,8933
"ENSG00000179344",4958,8933
"ENSG00000183092",4958,8933
"ENSG00000184110",4958,8933
"ENSG00000188536",4958,8933
"ENSG00000196735",4958,8933
"ENSG00000197142",4958,8933
"ENSG00000197165",4958,8933
"ENSG00000198342",4958,8933
"ENSG00000198435",4958,8933
"ENSG00000204252",4958,8933
"ENSG00000204287",4958,8933
"ENSG00000214456",4958,8933
"ENSG00000231389",4958,8933
"ENSG00000275395",4958,8933
"ENSG00000059588",4940,8767
"ENSG00000091136",4940,8767
"ENSG00000100813",4940,8767
