"gene","degree","weighted_degree","hgnc_symbol"
"ENSG00000000938",2413,2718,"FGR"
"ENSG00000000971",2413,2718,"CFH"
"ENSG00000002549",4712,6841,"LAP3"
"ENSG00000002746",4478,5520,"HECW1"
"ENSG00000002933",3360,4154,"TMEM176A"
"ENSG00000003096",4488,5405,"KLHL13"
"ENSG00000003147",4478,5520,"ICA1"
"ENSG00000003402",3986,4683,"CFLAR"
"ENSG00000004534",4554,5481,"RBM6"
"ENSG00000004776",4639,6215,"HSPB6"
"ENSG00000004777",4654,6521,"ARHGAP33"
"ENSG00000004866",4488,5405,"ST7"
"ENSG00000004948",4554,5481,"CALCR"
"ENSG00000005007",3243,3567,"UPF1"
"ENSG00000005020",4554,5481,"SKAP2"
"ENSG00000005059",3682,4849,"MCUB"
"ENSG00000005075",4488,5405,"POLR2J"
"ENSG00000005108",4488,5405,"THSD7A"
"ENSG00000005194",4310,5200,"CIAPIN1"
"ENSG00000005206",2595,2833,"SPPL2B"
"ENSG00000005249",4712,6841,"PRKAR2B"
"ENSG00000005339",4310,5200,"CREBBP"
"ENSG00000005381",4488,5405,"MPO"
"ENSG00000005448",2382,2552,"WDR54"
"ENSG00000005700",4639,6215,"IBTK"
"ENSG00000005844",4958,8933,"ITGAL"
"ENSG00000005884",4310,5200,"ITGA3"
"ENSG00000005961",4639,6215,"ITGA2B"
"ENSG00000006015",4478,5520,"REX1BD"
"ENSG00000006016",3117,3452,"CRLF1"
"ENSG00000006042",4488,5405,"TMEM98"
"ENSG00000006062",4639,6215,"MAP3K14"
"ENSG00000006116",2440,2757,"CACNG3"
"ENSG00000006128",4810,7612,"TAC1"
"ENSG00000006283",4554,5481,"CACNA1G"
"ENSG00000006327",2595,2833,"TNFRSF12A"
"ENSG00000006377",4488,5405,"DLX6"
"ENSG00000006432",2440,2757,"MAP3K9"
"ENSG00000006468",3117,3452,"ETV1"
"ENSG00000006652",4639,6215,"IFRD1"
"ENSG00000006704",4639,6215,"GTF2IRD1"
"ENSG00000006712",4310,5200,"PAF1"
"ENSG00000007047",4478,5520,"MARK4"
"ENSG00000007080",4554,5481,"CCDC124"
"ENSG00000007264",4654,6521,"MATK"
"ENSG00000007384",4809,6802,"RHBDF1"
"ENSG00000007402",4826,6917,"CACNA2D2"
"ENSG00000007520",4639,6215,"TSR3"
"ENSG00000007866",2413,2718,"TEAD3"
"ENSG00000007944",4766,7331,"MYLIP"
"ENSG00000008256",2382,2552,"CYTH3"
"ENSG00000008382",4639,6215,"MPND"
"ENSG00000008394",4712,6841,"MGST1"
"ENSG00000008405",4310,5200,"CRY1"
"ENSG00000008513",4878,7536,"ST3GAL1"
"ENSG00000008517",4554,5481,"IL32"
"ENSG00000008710",4310,5200,"PKD1"
"ENSG00000008838",4310,5200,"MED24"
"ENSG00000008853",4878,7651,"RHOBTB2"
"ENSG00000009790",4878,7536,"TRAF3IP3"
"ENSG00000009950",4958,8933,"MLXIPL"
"ENSG00000010219",4488,5405,"DYRK4"
"ENSG00000010256",4478,5520,"UQCRC1"
"ENSG00000010282",4639,6215,"HHATL"
"ENSG00000010295",4478,5520,"IFFO1"
"ENSG00000010310",4639,6215,"GIPR"
"ENSG00000010318",4639,6215,"PHF7"
"ENSG00000010319",4810,7612,"SEMA3G"
"ENSG00000010322",4878,7651,"NISCH"
"ENSG00000010327",3117,3452,"STAB1"
"ENSG00000010610",2876,3528,"CD4"
"ENSG00000010818",4712,6841,"HIVEP2"
"ENSG00000011028",2876,3528,"MRC2"
"ENSG00000011304",2595,2833,"PTBP1"
"ENSG00000011422",4478,5520,"PLAUR"
"ENSG00000011451",4639,6215,"WIZ"
"ENSG00000011566",4310,5200,"MAP4K3"
"ENSG00000011600",4810,7612,"TYROBP"
"ENSG00000011638",4478,5520,"LDAF1"
"ENSG00000012174",4478,5520,"MBTPS2"
"ENSG00000013297",4478,5520,"CLDN11"
"ENSG00000013364",3243,3567,"MVP"
"ENSG00000013375",4310,5200,"PGM3"
"ENSG00000013441",4554,5481,"CLK1"
"ENSG00000014257",3117,3452,"ACP3"
"ENSG00000014641",4478,5520,"MDH1"
"ENSG00000014914",3411,3949,"MTMR11"
"ENSG00000014919",4310,5200,"COX15"
"ENSG00000015133",4654,6521,"CCDC88C"
"ENSG00000015153",4878,7651,"YAF2"
"ENSG00000017427",4488,5405,"IGF1"
"ENSG00000017483",4878,7651,"SLC38A5"
"ENSG00000018280",2876,3528,"SLC11A1"
"ENSG00000018408",2595,2833,"WWTR1"
"ENSG00000019169",2876,3528,"MARCO"
"ENSG00000019582",5008,10049,"CD74"
"ENSG00000019991",3243,3567,"HGF"
"ENSG00000020129",4488,5405,"NCDN"
"ENSG00000020256",4727,6597,"ZFP64"
"ENSG00000020577",4624,6636,"SAMD4A"
"ENSG00000021355",4639,6215,"SERPINB1"
"ENSG00000021461",4639,6215,"CYP3A43"
"ENSG00000021645",3243,3567,"NRXN3"
