"GENEID","avg_effect","consistency","n_disorders"
"46084",0.801,NA,1
"46085",-0.580475783,NA,1
"46274",0.531,NA,1
"AC004158",-0.429761243,NA,1
"AC004447",-0.39,NA,1
"AC004470",-1.25189,NA,1
"AC005753",-0.98311563,NA,1
"AC005795",-0.49,NA,1
"AC006946",-0.732709085,NA,1
"AC007318",-0.37,NA,1
"AC010731",-0.988555685,NA,1
"AC010980",-0.798666973,NA,1
"AC015936",1.570200377,NA,1
"AC090602",-0.63,NA,1
"AC092013",0.982344214,NA,1
"AC092168",-0.84894,NA,1
"AC092687",-1.108418748,NA,1
"AC098823",2.117225764,NA,1
"AC103564",-0.701470734,NA,1
"AC104135",2.108175,NA,1
"AC114730",-1.77278757,NA,1
"AC253572",1.701099,NA,1
"AL354822",0.921260634,NA,1
"AP005482",-0.49,NA,1
"ASH1L",-0.56,NA,1
"CH17-3B23",1.169468506,NA,1
"CH507-42P11",-1.88693,NA,1
"CTA",-0.43,NA,1
"CTC-471C19",-0.578372497,NA,1
"CTC-575D19",-2.95454,NA,1
"CTD",-0.3475,0.559724634679113,1
"CTD-2015H6",-0.297899222,NA,1
"CTD-2058B24",-0.571386957,NA,1
"CTD-2270F17",1.189836768,NA,1
"CTD-2292P10",-1.175099489,NA,1
"CTD-2555A7",-0.529549738,NA,1
"CTD-3128G10",2.044296469,NA,1
"DKFZP779L1853",0.0989187,NA,1
"ENSG00000000938",0.237427331,1.20305228804696,2
"ENSG00000000971",0.2112676595,0.875312012227348,2
"ENSG00000001036",0.248989393,NA,1
"ENSG00000001167",-0.114069774,NA,1
"ENSG00000001460",0.232941054,NA,1
"ENSG00000001497",-0.231061091,NA,1
"ENSG00000001561",0.229074343,NA,1
"ENSG00000001617",-0.7282151,NA,1
"ENSG00000001630",0.379460345666667,NA,1
"ENSG00000001631",0.118710747,NA,1
"ENSG00000002330",0.326112058333333,NA,1
"ENSG00000002549",0.315433956666667,0.15047952322411,3
"ENSG00000002586",0.34577935,NA,1
"ENSG00000002745",-0.766240831,NA,1
"ENSG00000002746",0.1534729455,0.480951186650096,2
"ENSG00000002822",0.1829760085,NA,1
"ENSG00000002834",-0.0456804956666667,NA,1
"ENSG00000002933",0.501259766166667,0.281492825886934,3
"ENSG00000003096",-0.21959368,0.645456007696795,2
"ENSG00000003137",-0.2949748,NA,1
"ENSG00000003147",-0.1893760005,0.0602056176417417,2
"ENSG00000003400",-0.2190467,NA,1
"ENSG00000003402",0.133175526666667,0.0603611465643002,3
"ENSG00000003987",0.184611555,NA,1
"ENSG00000003989",-0.411835,NA,1
"ENSG00000004059",0.357751427,NA,1
"ENSG00000004139",-0.49,NA,1
"ENSG00000004399",0.37754972525,NA,1
"ENSG00000004468",0.133805734,NA,1
"ENSG00000004478",-0.096218,NA,1
"ENSG00000004534",-0.12779418,0.350042068023529,2
"ENSG00000004660",0.361037112,NA,1
"ENSG00000004700",0.228667939,NA,1
"ENSG00000004766",0.155153262,NA,1
"ENSG00000004776",-0.447587587,0.430981564748424,2
"ENSG00000004777",-0.285873984222222,0.198277426126843,3
"ENSG00000004799",0.29253204,NA,1
"ENSG00000004848",-0.34,NA,1
"ENSG00000004864",-0.19539,NA,1
"ENSG00000004866",0.0172285215,0.29383324276901,2
"ENSG00000004948",0.309813642333333,0.700291307491641,2
"ENSG00000004961",-0.142906533,NA,1
"ENSG00000004975",0.223981739,NA,1
"ENSG00000005007",0.154908205,0.0332034646317527,2
"ENSG00000005020",0.3108293207,0.167394490406921,2
"ENSG00000005059",0.413772576666667,0.487386704501065,3
"ENSG00000005073",-0.0733014,NA,1
"ENSG00000005075",0.298582745,0.127869308293547,2
"ENSG00000005108",-0.1295090575,0.697901583791781,2
"ENSG00000005156",0.08038387,NA,1
"ENSG00000005187",-0.696132738,NA,1
"ENSG00000005189",0.1152301,NA,1
"ENSG00000005194",0.1117289055,0.0702832398476021,2
"ENSG00000005206",-0.1568508805,0.0520872101356404,2
"ENSG00000005249",-0.361187732333333,0.381201133408989,3
"ENSG00000005302",0.111198233,NA,1
"ENSG00000005339",-0.136435136,0.118459387222171,2
"ENSG00000005379",0.219145683666667,NA,1
"ENSG00000005381",-0.4339596305,1.55498490292362,2
"ENSG00000005421",1.047203606,NA,1
"ENSG00000005448",-0.1209344,0.0780623259012951,2
"ENSG00000005469",0.192735335,NA,1
"ENSG00000005486",0.24,NA,1
"ENSG00000005513",0.23,NA,1
"ENSG00000005700",0.1319915305,0.0260565037561692,2
"ENSG00000005810",0.3666827,NA,1
"ENSG00000005812",0.229127694,NA,1
"ENSG00000005844",0.46001842275,0.71895221480626,4
"ENSG00000005882",0.171799017,NA,1
"ENSG00000005884",-0.146463661,0.124548884755732,2
