"GENEID","DISORDER","mean_log2FC","min_p","combined_p","Direction"
"46084","OCD",0.801,0.00175945,0.00175945,"UP"
"46085","OCD",-0.580475783,0.001488,0.001488,"DOWN"
"46274","OCD",0.531,7.8427e-05,7.8427e-05,"UP"
"AC004158","OCD",-0.429761243,0.007983729,0.007983729,"DOWN"
"AC004447","ASD",-0.39,0.00837,0.00837,"DOWN"
"AC004470","OCD",-1.25189,0.000207,0.000207,"DOWN"
"AC005753","OCD",-0.98311563,0.00049,0.00049,"DOWN"
"AC005795","ASD",-0.49,0.00734,0.00734,"DOWN"
"AC006946","OCD",-0.732709085,0.002521169,0.002521169,"DOWN"
"AC007318","ASD",-0.37,0.00188,0.00188,"DOWN"
"AC010731","OCD",-0.988555685,0.003661547,0.003661547,"DOWN"
"AC010980","OCD",-0.798666973,0.006915817,0.006915817,"DOWN"
"AC015936","OCD",1.570200377,0.001068773,0.001068773,"UP"
"AC090602","ASD",-0.63,0.00155,0.00155,"DOWN"
"AC092013","OCD",0.982344214,0.003998,0.003998,"UP"
"AC092168","OCD",-0.84894,0.000541,0.000541,"DOWN"
"AC092687","OCD",-1.108418748,0.007235,0.007235,"DOWN"
"AC098823","OCD",2.117225764,0.004835574,0.004835574,"UP"
"AC103564","OCD",-0.701470734,0.006094004,0.006094004,"DOWN"
"AC104135","OCD",2.108175,0.003706,0.003706,"UP"
"AC114730","OCD",-1.77278757,0.006693134,0.006693134,"DOWN"
"AC253572","OCD",1.701099,0.002581,0.002581,"UP"
"AL354822","OCD",0.921260634,0.003822,0.003822,"UP"
"AP005482","ASD",-0.49,0.000948,0.000948,"DOWN"
"ASH1L","ASD",-0.56,0.00471,0.00471,"DOWN"
"CH17-3B23","OCD",1.169468506,0.000542231,0.000542231,"UP"
"CH507-42P11","OCD",-1.88693,0.002662,0.002662,"DOWN"
"CTA","ASD",-0.43,0.00754,0.00754,"DOWN"
"CTC-471C19","OCD",-0.578372497,8.99e-05,8.99e-05,"DOWN"
"CTC-575D19","OCD",-2.95454,0.000743,0.000743,"DOWN"
"CTD-2015H6","OCD",-0.297899222,0.0055128,0.0055128,"DOWN"
"CTD-2058B24","OCD",-0.571386957,0.005510386,0.005510386,"DOWN"
"CTD-2270F17","OCD",1.189836768,0.004777401,0.004777401,"UP"
"CTD-2292P10","OCD",-1.175099489,0.00067,0.00067,"DOWN"
"CTD-2555A7","OCD",-0.529549738,5.53e-05,5.53e-05,"DOWN"
