"disorder1","disorder2","n_deg_d1","n_deg_d2","overlap","expected_overlap","excess_overlap","empirical_p","log10_p","p_value","FDR"
"AD","ADHD",492,1793,0,10.2824,-10.2824,1,0,1,1
"AD","ASD",492,2164,0,12.2714,-12.2714,1,0,1,1
"AD","BD",492,3298,0,18.7198,-18.7198,1,0,1,1
"AD","MDD",492,12743,0,72.4562,-72.4562,1,0,1,1
"AD","OCD",492,1932,0,11.0222,-11.0222,1,0,1,1
"AD","SZ",492,1819,0,10.324,-10.324,1,0,1,1
"ADHD","ASD",1793,2164,171,44.8866,126.1134,0,Inf,0,0
"ADHD","BD",1793,3298,234,68.4206,165.5794,0,Inf,0,0
"ADHD","MDD",1793,12743,891,264.6724,626.3276,0,Inf,0,0
"ADHD","OCD",1793,1932,157,40.1266,116.8734,0,Inf,0,0
"ADHD","SZ",1793,1819,150,37.67,112.33,0,Inf,0,0
"ASD","BD",2164,3298,325,82.5202,242.4798,0,Inf,0,0
"ASD","MDD",2164,12743,1043,319.1726,723.8274,0,Inf,0,0
"ASD","OCD",2164,1932,318,48.5388,269.4612,0,Inf,0,0
"ASD","SZ",2164,1819,239,45.5946,193.4054,0,Inf,0,0
"BD","MDD",3298,12743,1577,486.8066,1090.1934,0,Inf,0,0
"BD","OCD",3298,1932,336,73.6638,262.3362,0,Inf,0,0
"BD","SZ",3298,1819,653,69.543,583.457,0,Inf,0,0
"MDD","OCD",12743,1932,918,284.9888,633.0112,0,Inf,0,0
"MDD","SZ",12743,1819,928,268.127,659.873,0,Inf,0,0
"OCD","SZ",1932,1819,306,40.7864,265.2136,0,Inf,0,0
