"GO_term","count.all_terms","count.Freq"
"actin filament organization","actin filament organization",3
"action potential","action potential",2
"activation of innate immune response","activation of innate immune response",4
"acute inflammatory response","acute inflammatory response",2
"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",3
"adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",2
"alpha-beta T cell activation","alpha-beta T cell activation",3
"alpha-beta T cell activation involved in immune response","alpha-beta T cell activation involved in immune response",3
"alpha-beta T cell differentiation","alpha-beta T cell differentiation",3
"alpha-beta T cell differentiation involved in immune response","alpha-beta T cell differentiation involved in immune response",3
"amide transport","amide transport",2
"anatomical structure homeostasis","anatomical structure homeostasis",2
"antigen processing and presentation","antigen processing and presentation",3
"antigen processing and presentation of exogenous antigen","antigen processing and presentation of exogenous antigen",2
"antigen processing and presentation of exogenous peptide antigen","antigen processing and presentation of exogenous peptide antigen",2
"antigen processing and presentation of exogenous peptide antigen via MHC class II","antigen processing and presentation of exogenous peptide antigen via MHC class II",2
"antigen processing and presentation of peptide antigen","antigen processing and presentation of peptide antigen",2
"antigen processing and presentation of peptide antigen via MHC class II","antigen processing and presentation of peptide antigen via MHC class II",2
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",2
"aorta development","aorta development",2
"artery development","artery development",2
"axon ensheathment","axon ensheathment",3
"axon guidance","axon guidance",4
"axonogenesis","axonogenesis",4
"B cell activation","B cell activation",3
"B cell differentiation","B cell differentiation",3
"blood coagulation","blood coagulation",3
"branching involved in blood vessel morphogenesis","branching involved in blood vessel morphogenesis",2
"calcium ion homeostasis","calcium ion homeostasis",2
"calcium ion transmembrane import into cytosol","calcium ion transmembrane import into cytosol",2
"calcium ion transmembrane transport","calcium ion transmembrane transport",3
"calcium ion transport","calcium ion transport",3
"calcium-ion regulated exocytosis","calcium-ion regulated exocytosis",2
"calcium-mediated signaling","calcium-mediated signaling",2
"canonical NF-kappaB signal transduction","canonical NF-kappaB signal transduction",2
"carboxylic acid transport","carboxylic acid transport",2
"cardiac muscle cell action potential","cardiac muscle cell action potential",2
"cardiac muscle cell action potential involved in contraction","cardiac muscle cell action potential involved in contraction",2
"cardiac muscle cell contraction","cardiac muscle cell contraction",2
"cardiac muscle contraction","cardiac muscle contraction",2
"CD4-positive, alpha-beta T cell activation","CD4-positive, alpha-beta T cell activation",3
"CD4-positive, alpha-beta T cell differentiation","CD4-positive, alpha-beta T cell differentiation",3
"CD4-positive, alpha-beta T cell differentiation involved in immune response","CD4-positive, alpha-beta T cell differentiation involved in immune response",3
"cell activation involved in immune response","cell activation involved in immune response",3
